"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"105","Hong Kong","January - June 2016",0,0,0,0,0,0,0,0,0
"106","India","January - June 2016",0,129,0,0,89,0,0,43,0
"107","Indonesia","January - June 2016",0,113,0,0,49,0,0,30,0
"108","Iraq","January - June 2016",0,0,0,0,0,0,0,0,0
"109","Ireland","January - June 2016",17,11,0,1,6,0,1,6,1.02
"110","Israel","January - June 2016",0,1,0,0,1,0,0,1,0
"111","Italy","January - June 2016",0,0,0,0,0,0,0,0,0
"112","Japan","January - June 2016",4,169,0,21,78,0,21,67,2.68
"113","Kazakhstan","January - June 2016",0,0,0,0,0,0,0,0,0
"114","Kenya","January - June 2016",0,0,0,0,0,0,0,0,0
"115","Kuwait","January - June 2016",0,9,0,0,7,0,0,5,0
"116","Lebanon","January - June 2016",0,2,0,0,1,0,0,2,0
"117","Luxembourg","January - June 2016",0,0,0,0,0,0,0,0,0
"118","Malaysia","January - June 2016",0,4,0,0,3,0,0,2,0
"119","Maldives","January - June 2016",0,1,0,0,0,0,0,1,0
"120","Mexico","January - June 2016",0,2,0,0,1,0,0,2,0
"121","Mongolia","January - June 2016",0,0,0,0,0,0,0,1,0
"122","Netherlands","January - June 2016",33,7,0,3,2,0,3,6,1.98
"123","New Zealand","January - June 2016",0,2,0,0,0,0,0,1,0
"124","Norway","January - June 2016",0,0,0,0,0,0,0,0,0
"125","Pakistan","January - June 2016",0,32,0,0,27,0,0,9,0
"126","Philippines","January - June 2016",0,1,0,0,0,0,0,1,0
"127","Russian Federation","January - June 2016",12,1698,10,182,1272,0,192,1601,192.12
"128","Saudi Arabia","January - June 2016",0,0,0,0,0,0,0,0,0
"129","Serbia","January - June 2016",0,1,0,0,1,0,0,1,0
"130","Singapore","January - June 2016",0,2,0,0,0,0,0,2,0
"131","South Africa","January - June 2016",0,1,0,0,0,0,0,1,0
"132","South Korea","January - June 2016",0,17,0,0,9,0,0,17,0
"133","Spain","January - June 2016",5,27,0,3,8,0,3,20,1
"134","Sweden","January - June 2016",0,2,0,0,2,0,0,2,0
"135","Turkey","January - June 2016",23,14953,222,1571,393,0,1793,2493,573.39
"136","United Arab Emirates","January - June 2016",0,1,0,0,1,0,0,1,0
"137","United Kingdom","January - June 2016",3,2090,0,749,27,0,749,174,5.22
"138","United States","January - June 2016",0,150,0,0,82,0,0,100,0
"139","Venezuela","January - June 2016",0,5,0,0,0,0,0,1,0
"140","Afghanistan","January - June 2017",0,0,0,0,0,0,0,0,0
"141","Argentina","January - June 2017",0,7,0,0,3,0,0,7,0
"142","Australia","January - June 2017",29,6,0,23,1,0,23,7,2.03
"143","Austria","January - June 2017",0,0,0,0,0,0,0,0,0
"144","Azerbaijan","January - June 2017",0,0,0,0,0,0,0,0,0
"145","Bahrain","January - June 2017",0,2,0,0,0,0,0,2,0
"146","Belarus","January - June 2017",0,0,0,0,0,0,0,0,0
"147","Belgium","January - June 2017",0,3,0,0,3,0,0,3,0
"148","Bosnia and Herzegovina","January - June 2017",0,0,0,0,0,0,0,0,0
"149","Brazil","January - June 2017",15,271,0,25,18,0,25,34,5.1
"150","Canada","January - June 2017",0,12,0,0,5,0,0,11,0
"151","Chile","January - June 2017",0,1,0,0,0,0,0,1,0
"152","Colombia","January - June 2017",0,3,0,0,3,0,0,3,0
"153","Croatia","January - June 2017",0,1,0,0,0,0,0,1,0
"154","Cyprus","January - June 2017",0,0,0,0,0,0,0,0,0
"155","Czech Republic","January - June 2017",0,0,0,0,0,0,0,0,0
"156","Dominican Republic","January - June 2017",0,2,0,0,2,0,0,2,0
"157","Ecuador","January - June 2017",0,3,0,0,0,0,0,3,0
"158","Egypt","January - June 2017",0,0,0,0,0,0,0,0,0
"159","Estonia","January - June 2017",0,0,0,0,0,0,0,0,0
"160","Finland","January - June 2017",0,1,0,0,0,0,0,1,0
"161","France","January - June 2017",13,1177,2,164,393,0,166,1039,135.07
"162","Georgia","January - June 2017",0,0,0,0,0,0,0,0,0
"163","Germany","January - June 2017",25,469,0,121,198,0,121,443,110.75
"164","Greece","January - June 2017",0,2,0,0,2,0,0,2,0
"165","Haiti","January - June 2017",0,0,0,0,0,0,0,0,0
"166","Hong Kong","January - June 2017",0,2,0,0,1,0,0,2,0
"167","India","January - June 2017",0,341,0,0,101,0,0,104,0
"168","Indonesia","January - June 2017",0,93,0,0,36,0,0,57,0
"169","Iraq","January - June 2017",0,0,0,0,0,0,0,0,0
"170","Ireland","January - June 2017",0,12,0,0,4,0,0,8,0
"171","Israel","January - June 2017",0,2,0,0,1,0,0,2,0
"172","Italy","January - June 2017",0,5,0,0,0,0,0,5,0
"173","Japan","January - June 2017",9,424,0,64,303,0,64,104,9.36
"174","Kazakhstan","January - June 2017",0,0,0,0,0,0,0,0,0
"175","Kenya","January - June 2017",0,1,0,0,0,0,0,1,0
"176","Kuwait","January - June 2017",0,3,0,0,0,0,0,3,0
"177","Lebanon","January - June 2017",0,0,0,0,0,0,0,0,0
"178","Luxembourg","January - June 2017",0,0,0,0,0,0,0,0,0
"179","Malaysia","January - June 2017",0,2,0,0,0,0,0,2,0
"180","Maldives","January - June 2017",0,0,0,0,0,0,0,0,0
"181","Mexico","January - June 2017",0,4,0,0,1,0,0,5,0
"182","Mongolia","January - June 2017",0,0,0,0,0,0,0,0,0
"183","Nepal","January - June 2017",0,8,0,0,1,0,0,8,0
"184","Netherlands","January - June 2017",17,12,0,1,6,0,1,12,2.04
"185","New Zealand","January - June 2017",0,0,0,0,0,0,0,0,0
"186","Norway","January - June 2017",0,0,0,0,0,0,0,0,0
"187","Pakistan","January - June 2017",0,82,0,0,19,0,0,24,0
"188","Paraguay","January - June 2017",0,1,0,0,0,0,0,1,0
"189","Philippines","January - June 2017",0,1,0,0,1,0,0,1,0
"190","Poland","January - June 2017",0,3,0,0,3,0,0,3,0
"191","Portugal","January - June 2017",0,0,0,0,0,0,0,0,0
"192","Qatar","January - June 2017",0,1,0,0,1,0,0,1,0
"193","Russian Federation","January - June 2017",55,1225,87,566,224,0,653,1213,667.15
"194","Saudi Arabia","January - June 2017",0,5,0,0,2,0,0,4,0
"195","Serbia","January - June 2017",0,0,0,0,0,0,0,0,0
"196","Singapore","January - June 2017",0,0,0,0,0,0,0,0,0
"197","South Africa","January - June 2017",0,0,0,0,0,0,0,0,0
"198","South Korea","January - June 2017",0,68,0,0,39,0,0,33,0
"199","Spain","January - June 2017",6,37,0,2,11,0,2,17,1.02
"200","Sweden","January - June 2017",0,0,0,0,0,0,0,0,0
"201","Switzerland","January - June 2017",0,0,0,0,0,0,0,0,0
"202","Thailand","January - June 2017",0,1,0,0,0,0,0,1,0
"203","Turkey","January - June 2017",11,9289,204,497,1376,0,701,2710,298.1
"204","Ukraine","January - June 2017",0,2,0,0,0,0,0,1,0
"205","United Arab Emirates","January - June 2017",0,54,0,0,49,0,0,15,0
"206","United Kingdom","January - June 2017",5,218,4,0,37,0,4,66,3.3
"207","United States","January - June 2017",0,261,0,0,179,0,0,122,0
"208","Uruguay","January - June 2017",0,1,0,0,0,0,0,1,0
"209","Uzbekistan","January - June 2017",0,0,0,0,0,0,0,0,0
"210","Venezuela","January - June 2017",0,2,0,0,0,0,0,1,0
"211","Afghanistan","January - June 2018",0,0,0,0,0,0,0,0,0
"212","Argentina","January - June 2018",0,10,0,0,0,0,0,10,0
"213","Australia","January - June 2018",29,9,0,10,0,0,10,7,2.03
"214","Austria","January - June 2018",0,1,0,0,0,0,0,1,0
"215","Azerbaijan","January - June 2018",0,1,0,0,1,0,0,1,0
"216","Bahrain","January - June 2018",0,2,0,0,0,0,0,2,0
"217","Belarus","January - June 2018",0,0,0,0,0,0,0,0,0
"218","Belgium","January - June 2018",0,0,0,0,0,0,0,0,0
"219","Bosnia and Herzegovina","January - June 2018",0,0,0,0,0,0,0,0,0
"220","Brazil","January - June 2018",21,89,0,52,26,0,52,42,8.82
"221","Canada","January - June 2018",0,8,0,0,4,0,0,8,0
"222","Chile","January - June 2018",0,0,0,0,0,0,0,0,0
"223","Colombia","January - June 2018",0,2,0,0,0,0,0,2,0
"224","Croatia","January - June 2018",0,0,0,0,0,0,0,0,0
"225","Cyprus","January - June 2018",0,0,0,0,0,0,0,0,0
"226","Czech Republic","January - June 2018",0,0,0,0,0,0,0,0,0
"227","Dominican Republic","January - June 2018",0,3,0,0,0,0,0,3,0
"228","Ecuador","January - June 2018",0,5,0,0,2,0,0,4,0
"229","Egypt","January - June 2018",0,0,0,0,0,0,0,0,0
"230","Estonia","January - June 2018",0,0,0,0,0,0,0,0,0
"231","Finland","January - June 2018",0,0,0,0,0,0,0,0,0
"232","France","January - June 2018",3,313,0,55,160,0,55,133,3.99
"233","Georgia","January - June 2018",0,0,0,0,0,0,0,0,0
"234","Germany","January - June 2018",12,54,0,66,8,0,66,33,3.96
"235","Greece","January - June 2018",0,1,0,0,1,0,0,1,0
"236","Haiti","January - June 2018",0,0,0,0,0,0,0,0,0
"237","Hong Kong","January - June 2018",0,0,0,0,0,0,0,0,0
"238","India","January - June 2018",5,1694,19,498,142,0,517,246,12.3
"239","Indonesia","January - June 2018",0,1683,0,0,522,0,0,189,0
"240","Iraq","January - June 2018",0,0,0,0,0,0,0,0,0
"241","Ireland","January - June 2018",27,60,0,51,3,0,51,11,2.97
"242","Israel","January - June 2018",33,42,22,0,11,0,22,3,0.99
"243","Italy","January - June 2018",0,6,0,0,3,0,0,6,0
"244","Japan","January - June 2018",6,1101,2,82,482,0,84,196,11.76
"245","Kazakhstan","January - June 2018",0,6,0,0,1,0,0,2,0
"246","Kenya","January - June 2018",0,0,0,0,0,0,0,0,0
"247","Kuwait","January - June 2018",0,3,0,0,1,0,0,3,0
"248","Lebanon","January - June 2018",0,3,0,0,0,0,0,3,0
"249","Luxembourg","January - June 2018",0,0,0,0,0,0,0,0,0
"250","Malaysia","January - June 2018",0,29,0,0,20,0,0,12,0
"251","Maldives","January - June 2018",0,0,0,0,0,0,0,0,0
"252","Mexico","January - June 2018",0,4,0,0,1,0,0,2,0
"253","Mongolia","January - June 2018",0,0,0,0,0,0,0,0,0
"254","Nepal","January - June 2018",0,0,0,0,0,0,0,0,0
"255","Netherlands","January - June 2018",0,4,0,4,3,0,4,3,0
"256","New Zealand","January - June 2018",0,0,0,0,0,0,0,0,0
"257","Norway","January - June 2018",0,0,0,0,0,0,0,0,0
"258","Oman","January - June 2018",0,35,0,0,8,0,0,3,0
"259","Pakistan","January - June 2018",0,3004,0,0,141,0,0,243,0
"260","Panama","January - June 2018",0,4,0,0,0,0,0,4,0
"261","Paraguay","January - June 2018",0,0,0,0,0,0,0,0,0
"262","Philippines","January - June 2018",0,0,0,0,0,0,0,0,0
"263","Poland","January - June 2018",0,14,0,0,2,0,0,3,0
"264","Portugal","January - June 2018",0,0,0,0,0,0,0,0,0
"265","Qatar","January - June 2018",0,0,0,0,0,0,0,0,0
"266","Russian Federation","January - June 2018",27,2053,59,357,764,0,416,1641,443.07
"267","Saudi Arabia","January - June 2018",0,9,0,0,4,0,0,8,0
"268","Serbia","January - June 2018",0,0,0,0,0,0,0,0,0
"269","Singapore","January - June 2018",0,1,0,0,0,0,0,2,0
"270","South Africa","January - June 2018",0,0,0,0,0,0,0,0,0
"271","South Korea","January - June 2018",1,1019,0,2,889,0,2,143,1.43
"272","Spain","January - June 2018",0,10,0,0,0,0,0,10,0
"273","Sri Lanka","January - June 2018",0,0,0,0,0,0,0,0,0
"274","Sweden","January - June 2018",0,0,0,0,0,0,0,0,0
"275","Switzerland","January - June 2018",0,0,0,0,0,0,0,0,0
"276","Thailand","January - June 2018",0,0,0,0,0,0,0,0,0
"277","Turkey","January - June 2018",18,13843,425,1464,2560,0,1889,8988,1617.84
"278","Ukraine","January - June 2018",0,0,0,0,0,0,0,0,0
"279","United Arab Emirates","January - June 2018",0,2209,0,0,1828,0,0,111,0
"280","United Kingdom","January - June 2018",8,249,0,15,48,0,15,66,5.28
"281","United States","January - June 2018",0,228,0,0,173,0,0,99,0
"282","Uruguay","January - June 2018",0,0,0,0,0,0,0,0,0
"283","Uzbekistan","January - June 2018",0,0,0,0,0,0,0,0,0
"284","Venezuela","January - June 2018",0,0,0,0,0,0,0,0,0
"285","Afghanistan","January - June 2019",0,0,0,0,0,0,0,0,0
"286","Albania","January - June 2019",0,1,0,0,1,0,0,0,0
"287","Argentina","January - June 2019",0,1,0,0,0,0,0,0,0
"288","Australia","January - June 2019",0,5,0,0,1,0,0,1,0
"289","Austria","January - June 2019",0,3,0,0,1,0,0,0,0
"290","Azerbaijan","January - June 2019",0,2,0,0,1,0,0,0,0
"291","Bahrain","January - June 2019",0,0,0,0,0,0,0,0,0
"292","Belarus","January - June 2019",0,0,0,0,0,0,0,0,0
"293","Belgium","January - June 2019",0,0,0,0,0,0,0,0,0
"294","Bosnia and Herzegovina","January - June 2019",0,0,0,0,0,0,0,0,0
"295","Brazil","January - June 2019",19,293,3,58,14,0,61,46,8.74
"296","Bulgaria","January - June 2019",0,0,0,0,0,0,0,0,0
"297","Canada","January - June 2019",8,56,0,0,17,0,0,0,0
"298","Chile","January - June 2019",0,0,0,0,0,0,0,0,0
"299","Colombia","January - June 2019",0,8,0,0,4,0,0,0,0
"300","Croatia","January - June 2019",0,0,0,0,0,0,0,0,0
"301","Cyprus","January - June 2019",0,0,0,0,0,0,0,0,0
"302","Czech Republic","January - June 2019",0,0,0,0,0,0,0,0,0
"303","Denmark","January - June 2019",0,1,0,0,1,0,0,0,0
"304","Dominican Republic","January - June 2019",0,2,0,0,0,0,0,0,0
"305","Ecuador","January - June 2019",0,0,0,0,0,0,0,0,0
"306","Egypt","January - June 2019",0,0,0,0,0,0,0,0,0
"307","Estonia","January - June 2019",0,0,0,0,0,0,0,0,0
"308","Finland","January - June 2019",0,0,0,0,0,0,0,0,0
"309","France","January - June 2019",9,408,1,35,157,0,36,5,0.45
"310","Georgia","January - June 2019",0,0,0,0,0,0,0,0,0
"311","Germany","January - June 2019",32,74,2,83,7,0,85,2,0.64
"312","Greece","January - June 2019",0,6,0,0,4,0,0,1,0
"313","Haiti","January - June 2019",0,0,0,0,0,0,0,0,0
"314","Hong Kong","January - June 2019",0,0,0,0,0,0,0,0,0
"315","India","January - June 2019",6,2484,73,241,578,0,314,8,0.48
"316","Indonesia","January - June 2019",0,17003,0,0,2345,0,0,0,0
"317","Iran","January - June 2019",0,4,0,0,2,0,0,0,0
"318","Iraq","January - June 2019",0,1,0,0,0,0,0,0,0
"319","Ireland","January - June 2019",0,132,0,0,7,0,0,2,0
"320","Israel","January - June 2019",8,491,0,1,5,0,1,1,0.08
"321","Italy","January - June 2019",0,8,0,0,1,0,0,1,0
"322","Japan","January - June 2019",0.2,6273,4,197,3053,0,201,17,0.034
"323","Jordan","January - June 2019",0,1,0,0,0,0,0,0,0
"324","Kazakhstan","January - June 2019",0,0,0,0,0,0,0,0,0
"325","Kenya","January - June 2019",0,0,0,0,0,0,0,0,0
"326","Kuwait","January - June 2019",0,2,0,0,0,0,0,0,0
"327","Kyrgyzstan","January - June 2019",0,0,0,0,0,0,0,0,0
"328","Lebanon","January - June 2019",0,0,0,0,0,0,0,0,0
"329","Luxembourg","January - June 2019",0,0,0,0,0,0,0,0,0
"330","Macedonia","January - June 2019",0,0,0,0,0,0,0,0,0
"331","Malawi","January - June 2019",0,1,0,0,1,0,0,0,0
"332","Malaysia","January - June 2019",0,23,0,0,6,0,0,0,0
