"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld","gdp","region","freedom_score"
"71","Netherlands",2015,0,4,0,0,0,0,0,4,0,765264949780.999,"Europe",99
"72","Norway",2015,0,0,0,0,0,0,0,0,0,385801550067.169,"Europe",100
"73","Pakistan",2015,0,60,0,0,0,0,0,6,0,270556131701.171,"Asia",42
"74","Russian Federation",2015,63,177,22,56,0,0,78,68,42.84,1363594369577.82,"Eurasia",23
"75","South Korea",2015,0,59,0,0,0,0,0,40,0,1382764027113.82,"Asia",84
"76","Spain",2015,0,1,0,0,0,0,0,2,0,1195119269971.52,"Europe",96
"77","Turkey",2015,34,1978,125,1667,0,0,1792,718,244.12,859796872677.614,"Europe",55
"78","United Arab Emirates",2015,0,0,0,0,0,0,0,0,0,358135057862.492,"MENA",21
"79","United Kingdom",2015,0,15,0,0,0,0,0,9,0,2928591002002.51,"Europe",97
"80","United States",2015,0,71,0,0,0,0,0,25,0,18219297584000,"Americas",92
"81","Venezuela",2015,0,0,0,0,0,0,0,0,0,NA,"Americas",35
"82","Argentina",2016,0,0,0,0,0,0,0,0,0,557531376217.967,"Americas",79
"83","Australia",2016,20,35,0,1,2,0,1,5,1,1208846993739.99,"Asia",98
"84","Azerbaijan",2016,0,12,0,0,9,0,0,12,0,37867518957.1975,"Eurasia",16
"85","Bosnia and Herzegovina",2016,0,0,0,0,0,0,0,0,0,16913330693.9653,"Europe",57
"86","Brazil",2016,5,172,0,13,36,0,13,40,2,1796275437087.99,"Americas",81
"87","Canada",2016,0,13,0,0,3,0,0,11,0,1526705529135.32,"Americas",99
"88","Chile",2016,0,1,0,0,0,0,0,1,0,250339863130.847,"Americas",95
"89","Colombia",2016,0,4,0,0,2,0,0,4,0,282825009887.458,"Americas",63
"90","Cyprus",2016,0,0,0,0,0,0,0,0,0,20890936462.2537,"Europe",94
"91","Czech Republic",2016,0,0,0,0,0,0,0,0,0,195090272402.729,"Europe",95
"92","Dominican Republic",2016,0,0,0,0,0,0,0,0,0,75704647977.3087,"Americas",70
"93","Ecuador",2016,0,1,0,0,0,0,0,1,0,99937696000,"Americas",59
"94","Egypt",2016,0,0,0,0,0,0,0,0,0,332927833278.038,"MENA",27
"95","Finland",2016,0,0,0,0,0,0,0,0,0,240570297852.344,"Europe",100
"96","France",2016,11,758,4,51,381,0,55,466,51.26,2471285607081.72,"Europe",91
"97","Georgia",2016,0,2,0,0,2,0,0,2,0,15141758566.7808,"Eurasia",64
"98","Germany",2016,13,143,4,4,93,0,8,63,8.19,3466790065011.83,"Europe",95
"99","Greece",2016,0,0,0,0,0,0,0,0,0,195222443512.937,"Europe",83
"100","Hong Kong",2016,0,0,0,0,0,0,0,0,0,320860698504.309,"Asia",63
"101","India",2016,0,129,0,0,89,0,0,43,0,2290432075123.75,"Asia",77
"102","Indonesia",2016,0,113,0,0,49,0,0,30,0,931877364177.742,"Asia",65
"103","Iraq",2016,0,0,0,0,0,0,0,0,0,174878976033.941,"MENA",27
"104","Ireland",2016,17,11,0,1,6,0,1,6,1.02,300523297712.96,"Europe",96
"105","Israel",2016,0,1,0,0,1,0,0,1,0,318950599017.506,"MENA",80
"106","Italy",2016,0,0,0,0,0,0,0,0,0,1875579883543.09,"Europe",89
"107","Japan",2016,4,169,0,21,78,0,21,67,2.68,4926667087367.51,"Asia",96
"108","Kazakhstan",2016,0,0,0,0,0,0,0,0,0,137278320084.171,"Eurasia",24
"109","Kenya",2016,0,0,0,0,0,0,0,0,0,69188755511.0911,"SSA",51
"110","Kuwait",2016,0,9,0,0,7,0,0,5,0,109420059582.92,"MENA",36
"111","Lebanon",2016,0,2,0,0,1,0,0,2,0,51239050082.9187,"MENA",43
"112","Luxembourg",2016,0,0,0,0,0,0,0,0,0,60691483443.1221,"Europe",98
"113","Malaysia",2016,0,4,0,0,3,0,0,2,0,301255454041.415,"Asia",45
"114","Maldives",2016,0,1,0,0,0,0,0,1,0,4379136461.83077,"Asia",43
"115","Mexico",2016,0,2,0,0,1,0,0,2,0,1077903618176.07,"Americas",65
"116","Mongolia",2016,0,0,0,0,0,0,0,1,0,11186734674.3847,"Asia",86
"117","Netherlands",2016,33,7,0,3,2,0,3,6,1.98,783528181704.567,"Europe",99
"118","New Zealand",2016,0,2,0,0,0,0,0,1,0,187854022728.459,"Asia",98
"119","Norway",2016,0,0,0,0,0,0,0,0,0,368827142857.143,"Europe",100
"120","Pakistan",2016,0,32,0,0,27,0,0,9,0,278654637737.69,"Asia",41
"121","Philippines",2016,0,1,0,0,0,0,0,1,0,304897590205.413,"Asia",65
"122","Russian Federation",2016,12,1698,10,182,1272,0,192,1601,192.12,1282723881134.01,"Eurasia",22
"123","Saudi Arabia",2016,0,0,0,0,0,0,0,0,0,644935541440,"MENA",10
"124","Serbia",2016,0,1,0,0,1,0,0,1,0,40630392018.541,"Europe",78
"125","Singapore",2016,0,2,0,0,0,0,0,2,0,318068476293.883,"Asia",51
"126","South Africa",2016,0,1,0,0,0,0,0,1,0,296357282715.109,"SSA",79
"127","South Korea",2016,0,17,0,0,9,0,0,17,0,1414804158515.26,"Asia",83
"128","Spain",2016,5,27,0,3,8,0,3,20,1,1232076017361.53,"Europe",95
"129","Sweden",2016,0,2,0,0,2,0,0,2,0,515744370225.386,"Europe",100
"130","Turkey",2016,23,14953,222,1571,393,0,1793,2493,573.39,863721648068.806,"Europe",53
"131","United Arab Emirates",2016,0,1,0,0,1,0,0,1,0,357045064669.843,"MENA",20
"132","United Kingdom",2016,3,2090,0,749,27,0,749,174,5.22,2694283209613.29,"Europe",95
"133","United States",2016,0,150,0,0,82,0,0,100,0,18707188235000,"Americas",90
"134","Venezuela",2016,0,5,0,0,0,0,0,1,0,NA,"Americas",35
"135","Afghanistan",2017,0,0,0,0,0,0,0,0,0,20191764940.1602,"Asia",24
"136","Argentina",2017,0,7,0,0,3,0,0,7,0,642695864756.35,"Americas",82
"137","Australia",2017,29,6,0,23,1,0,23,7,2.03,1330135756844.41,"Asia",98
"138","Austria",2017,0,0,0,0,0,0,0,0,0,417282900758.043,"Europe",95
"139","Azerbaijan",2017,0,0,0,0,0,0,0,0,0,40865558912.3867,"Eurasia",14
"140","Bahrain",2017,0,2,0,0,0,0,0,2,0,35432686170.2128,"MENA",12
"141","Belarus",2017,0,0,0,0,0,0,0,0,0,54726595249.1849,"Eurasia",20
"142","Belgium",2017,0,3,0,0,3,0,0,3,0,503004504395.429,"Europe",95
"143","Bosnia and Herzegovina",2017,0,0,0,0,0,0,0,0,0,18080118128.3854,"Europe",55
"144","Brazil",2017,15,271,0,25,18,0,25,34,5.1,2053594973992.61,"Americas",79
"145","Canada",2017,0,12,0,0,5,0,0,11,0,1646867220617.47,"Americas",99
