"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld","gdp","region","freedom_score"
"308","Haiti",2019,0,0,0,0,0,0,0,0,0,NA,"Americas",41
"309","Hong Kong",2019,0,0,0,0,0,0,0,0,0,NA,"Asia",59
"310","India",2019,6,2484,73,241,578,0,314,8,0.48,NA,"Asia",75
"311","Indonesia",2019,0,17003,0,0,2345,0,0,0,0,NA,"Asia",62
"312","Iran",2019,0,4,0,0,2,0,0,0,0,NA,"MENA",18
"313","Iraq",2019,0,1,0,0,0,0,0,0,0,NA,"MENA",32
"314","Ireland",2019,0,132,0,0,7,0,0,2,0,NA,"Europe",97
"315","Israel",2019,8,491,0,1,5,0,1,1,0.08,NA,"MENA",78
"316","Italy",2019,0,8,0,0,1,0,0,1,0,NA,"Europe",89
"317","Japan",2019,0.2,6273,4,197,3053,0,201,17,0.034,NA,"Asia",96
"318","Jordan",2019,0,1,0,0,0,0,0,0,0,NA,"MENA",37
"319","Kazakhstan",2019,0,0,0,0,0,0,0,0,0,NA,"Eurasia",22
"320","Kenya",2019,0,0,0,0,0,0,0,0,0,NA,"SSA",48
"321","Kuwait",2019,0,2,0,0,0,0,0,0,0,NA,"MENA",36
"322","Kyrgyzstan",2019,0,0,0,0,0,0,0,0,0,NA,"Eurasia",38
"323","Lebanon",2019,0,0,0,0,0,0,0,0,0,NA,"MENA",45
"324","Luxembourg",2019,0,0,0,0,0,0,0,0,0,NA,"Europe",98
"325","Malawi",2019,0,1,0,0,1,0,0,0,0,NA,"SSA",64
"326","Malaysia",2019,0,23,0,0,6,0,0,0,0,NA,"Asia",52
"327","Maldives",2019,0,0,0,0,0,0,0,0,0,NA,"Asia",35
"328","Mexico",2019,0,33,0,0,10,0,0,3,0,NA,"Americas",63
"329","Mongolia",2019,0,1,0,0,0,0,0,0,0,NA,"Asia",85
"330","Nepal",2019,0,1,0,0,0,0,0,0,0,NA,"Asia",54
"331","Netherlands",2019,0,12,0,0,11,0,0,0,0,NA,"Europe",99
"332","New Zealand",2019,0,0,0,0,0,0,0,0,0,NA,"Asia",98
"333","Norway",2019,0,0,0,0,0,0,0,0,0,NA,"Europe",100
"334","Oman",2019,0,1,0,0,0,0,0,0,0,NA,"MENA",23
"335","Pakistan",2019,0,1798,0,0,234,0,0,8,0,NA,"Asia",39
"336","Panama",2019,0,4,0,0,0,0,0,4,0,NA,"Americas",84
"337","Paraguay",2019,0,0,0,0,0,0,0,0,0,NA,"Americas",65
"338","Philippines",2019,0,2,0,0,1,0,0,0,0,NA,"Asia",61
"339","Poland",2019,0,12,0,0,10,0,0,0,0,NA,"Europe",84
"340","Portugal",2019,0,0,0,0,0,0,0,0,0,NA,"Europe",96
"341","Qatar",2019,0,5,0,0,4,0,0,0,0,NA,"MENA",25
"342","Russian Federation",2019,34,3809,7,1253,905,0,1260,711,241.74,NA,"Eurasia",20
"343","Saudi Arabia",2019,0,1,0,0,1,0,0,0,0,NA,"MENA",7
"344","Serbia",2019,0,2,0,0,1,0,0,0,0,NA,"Europe",67
"345","Singapore",2019,0,2,0,0,0,0,0,0,0,NA,"Asia",51
"346","Slovenia",2019,0,0,0,0,0,0,0,0,0,NA,"Europe",94
"347","South Africa",2019,0,4,0,0,0,0,0,0,0,NA,"SSA",79
"348","South Korea",2019,0,3046,0,1,2595,0,1,42,0,NA,"Asia",83
"349","Spain",2019,0,10,0,4,1,0,4,1,0,NA,"Europe",94
"350","Sri Lanka",2019,0,0,0,0,0,0,0,0,0,NA,"Asia",56
"351","Sweden",2019,0,0,0,0,0,0,0,0,0,NA,"Europe",100
"352","Switzerland",2019,0,1,0,0,0,0,0,0,0,NA,"Europe",96
"353","Thailand",2019,0,0,0,0,0,0,0,0,0,NA,"Asia",30
"354","Turkey",2019,5,8993,264,230,2536,0,494,388,19.4,NA,"Europe",31
"355","Ukraine",2019,0,22,0,0,0,0,0,0,0,NA,"Eurasia",60
"356","United Arab Emirates",2019,0,4869,0,0,3863,0,0,0,0,NA,"MENA",17
"357","United Kingdom",2019,0,110,0,0,39,0,0,0,0,NA,"Europe",93
"358","United States",2019,0,732,0,0,473,0,0,2,0,NA,"Americas",86
"359","Uruguay",2019,0,4,0,0,3,0,0,0,0,NA,"Americas",98
"360","Uzbekistan",2019,0,0,0,0,0,0,0,0,0,NA,"Eurasia",9
"361","Venezuela",2019,0,0,0,0,0,0,0,0,0,NA,"Americas",19
"362","Australia",2013,0,0,0,0,0,0,0,0,0,1576184467015.49,"Asia",97
"363","Brazil",2013,33,50,2,26,0,0,28,12,3.96,2472806456101.29,"Americas",81
"364","Canada",2013,0,0,0,0,0,0,0,0,0,1842018420853.1,"Americas",98
"365","Ecuador",2013,0,0,0,0,0,0,0,0,0,95129659000,"Americas",60
"366","France",2013,35,146,0,133,0,0,133,309,108.15,2811077725703.59,"Europe",95
"367","Germany",2013,0,1,0,0,0,0,0,2,0,3732743446218.92,"Europe",96
"368","Greece",2013,0,3,0,0,0,0,0,2,0,239862011450.103,"Europe",83
"369","Hong Kong",2013,0,1,0,0,0,0,0,1,0,275696879834.966,"Asia",67
"370","India",2013,13,54,0,13,0,0,13,8,1.04,1856722121394.53,"Asia",76
"371","Indonesia",2013,0,0,0,0,0,0,0,0,0,912524136718.018,"Asia",65
"372","Ireland",2013,0,1,0,0,0,0,0,1,0,238543538776.684,"Europe",97
"373","Italy",2013,0,1,0,0,0,0,0,1,0,2141315327318.21,"Europe",88
"374","Japan",2013,50,1,0,10,0,0,10,2,1,5155717056270.83,"Asia",88
"375","Kuwait",2013,0,3,0,0,0,0,0,2,0,174161495063.47,"MENA",41
"376","Mexico",2013,0,2,0,0,0,0,0,1,0,1274443084716.57,"Americas",65
"377","Netherlands",2013,0,0,0,0,0,0,0,0,0,876923518850.405,"Europe",99
"378","Pakistan",2013,0,0,0,0,0,0,0,0,0,231218567178.979,"Asia",42
"379","Russian Federation",2013,64,14,1,9,0,0,10,14,8.96,2297128039058.21,"Eurasia",27
"380","South Korea",2013,0,0,0,0,0,0,0,0,0,1305604981271.91,"Asia",86
"381","Spain",2013,0,0,0,0,0,0,0,0,0,1354757433212.72,"Europe",96
"382","Turkey",2013,0,2,0,0,0,0,0,2,0,950579413122.56,"Europe",61
"383","United Arab Emirates",2013,0,5,0,0,0,0,0,2,0,390107556160.654,"MENA",22
"384","United Kingdom",2013,0,9,0,0,0,0,0,9,0,2786022872706.81,"Europe",97
"385","United States",2013,0,11,0,0,0,0,0,8,0,16784849190000,"Americas",93
"386","Venezuela",2013,0,13,0,0,0,0,0,1,0,371005379786.566,"Americas",39
"387","Argentina",2014,0,2,0,0,0,0,0,1,0,526319673731.638,"Americas",80
"388","Australia",2014,0,0,0,0,0,0,0,0,0,1467483705131.74,"Asia",97
"389","Brazil",2014,30,191,5,101,0,0,106,27,8.1,2455994050148.75,"Americas",81
"390","Canada",2014,0,3,0,0,0,0,0,5,0,1801480123070.82,"Americas",98
"391","Colombia",2014,0,0,0,0,0,0,0,0,0,381112119657.445,"Americas",62
"392","Cyprus",2014,0,0,0,0,0,0,0,0,0,23128114786.7676,"Europe",92
"393","Ecuador",2014,0,3,0,0,0,0,0,1,0,101726331000,"Americas",60
"394","France",2014,43,38,0,15,0,0,15,35,15.05,2852165760630.27,"Europe",95
"395","Germany",2014,37,42,14,6,0,0,20,43,15.91,3883920155292.26,"Europe",96
"396","Greece",2014,0,2,0,0,0,0,0,1,0,237029579260.722,"Europe",83
"397","Hong Kong",2014,0,0,0,0,0,0,0,0,0,291459356985.337,"Asia",67
"398","India",2014,7,15,1,0,0,0,1,15,1.05,2039127446298.55,"Asia",77
"399","Indonesia",2014,0,0,0,0,0,0,0,0,0,890814755233.225,"Asia",64
"400","Ireland",2014,0,0,0,0,0,0,0,0,0,258471885130.304,"Europe",97
"401","Italy",2014,0,0,0,0,0,0,0,0,0,2159133919743.77,"Europe",90
"402","Japan",2014,21,26,0,19,0,0,19,19,3.99,4850413536037.84,"Asia",90
"403","Kazakhstan",2014,0,2,0,0,0,0,0,1,0,221415572819.5,"Eurasia",25
"404","Kenya",2014,0,1,0,0,0,0,0,1,0,61448046801.6041,"SSA",53
"405","Kuwait",2014,0,2,0,0,0,0,0,2,0,162631763879.129,"MENA",39
"406","Mexico",2014,0,34,0,0,0,0,0,2,0,1314563967425.24,"Americas",65
"407","Netherlands",2014,71,14,0,12,0,0,12,14,9.94,890981311077.658,"Europe",99
"408","Norway",2014,0,0,0,0,0,0,0,0,0,498410050251.256,"Europe",100
"409","Pakistan",2014,0,24,0,0,0,0,0,4,0,244360888750.807,"Asia",42
"410","Russian Federation",2014,13,91,3,9,0,0,12,91,11.83,2059984158438.46,"Eurasia",26
"411","South Korea",2014,0,2,0,0,0,0,0,2,0,1411333926201.24,"Asia",85
"412","Spain",2014,0,2,0,0,0,0,0,1,0,1369398844599.58,"Europe",96
"413","Turkey",2014,50,2642,62,1820,0,0,1882,477,238.5,934185915386.096,"Europe",60
"414","United Arab Emirates",2014,0,0,0,0,0,0,0,0,0,403137100068.073,"MENA",21
"415","United Kingdom",2014,0,40,0,0,0,0,0,22,0,3063803240208.01,"Europe",97
"416","United States",2014,0,60,0,0,0,0,0,32,0,17521746534000,"Americas",92
"417","Venezuela",2014,0,0,0,0,0,0,0,0,0,482359318767.703,"Americas",38
"418","Argentina",2015,0,0,0,0,0,0,0,0,0,594749285413.212,"Americas",80
"419","Australia",2015,0,2,0,0,0,2,0,3,0,1351693984524.5,"Asia",97
"420","Bosnia and Herzegovina",2015,0,1,0,0,0,1,0,1,0,16211540686.1355,"Europe",60
"421","Brazil",2015,22,107,1,107,8,23,108,18,3.96,1802214373741.32,"Americas",81
"422","Canada",2015,0,8,0,0,6,2,0,8,0,1552899925233.71,"Americas",98
"423","Colombia",2015,0,3,0,0,2,1,0,3,0,293481748240.779,"Americas",63
"424","Cyprus",2015,0,0,0,0,0,0,0,0,0,19779150116.4984,"Europe",93
"425","Czech Republic",2015,0,1,0,0,0,1,0,1,0,186829940545.759,"Europe",95
"426","Dominican Republic",2015,0,11,0,0,3,8,0,11,0,71164826720.514,"Americas",73
"427","Ecuador",2015,0,20,0,0,2,18,0,16,0,99290381000,"Americas",59
"428","Egypt",2015,0,1,0,0,0,1,0,1,0,332698041030.807,"MENA",26
"429","France",2015,19,305,2,74,91,158,76,154,29.26,2438207896251.84,"Europe",95
"430","Georgia",2015,0,1,0,0,0,1,0,1,0,14953950557.4406,"Eurasia",64
"431","Germany",2015,20,10,1,1,4,4,2,10,2,3360549973888.58,"Europe",96
"432","Greece",2015,0,4,0,0,1,3,0,4,0,196591353761.226,"Europe",83
"433","Hong Kong",2015,0,0,0,0,0,0,0,0,0,309383627028.561,"Asia",65
"434","India",2015,0,47,0,0,21,26,0,40,0,2103587813812.75,"Asia",78
"435","Indonesia",2015,0,8,0,0,5,3,0,8,0,860854235065.079,"Asia",64
"436","Iraq",2015,0,0,0,0,0,0,0,0,0,177498577312.923,"MENA",24
"437","Ireland",2015,0,0,0,0,0,0,0,0,0,291499812103.645,"Europe",97
"438","Italy",2015,0,4,0,0,4,0,0,4,0,1835899237320.04,"Europe",89
"439","Japan",2015,3,130,0,1,81,48,1,37,1.11,4389475622588.97,"Asia",94
"440","Kazakhstan",2015,0,18,0,0,13,5,0,4,0,184388432148.715,"Eurasia",24
"441","Kenya",2015,0,1,0,0,0,1,0,1,0,64007750178.5014,"SSA",51
"442","Kuwait",2015,0,3,0,0,2,1,0,3,0,114567298105.683,"MENA",37
"443","Luxembourg",2015,0,1,0,0,0,1,0,1,0,57744457954.7297,"Europe",98
"444","Malaysia",2015,0,24,0,0,23,1,0,3,0,301354756113.174,"Asia",46
"445","Mexico",2015,0,0,0,0,0,0,0,0,0,1170564619927.69,"Americas",64
"446","Mongolia",2015,0,111,0,0,23,88,0,111,0,11749620619.5962,"Asia",86
"447","Netherlands",2015,40,6,0,3,0,4,3,5,2,765264949780.999,"Europe",99
"448","New Zealand",2015,0,0,0,0,0,0,0,1,0,177208110322.704,"Asia",97
"449","Norway",2015,0,0,0,0,0,0,0,0,0,385801550067.169,"Europe",100
"450","Pakistan",2015,0,33,0,0,9,24,0,12,0,270556131701.171,"Asia",42
"451","Russian Federation",2015,5,1774,14,82,1306,380,96,1735,86.75,1363594369577.82,"Eurasia",23
"452","Saudi Arabia",2015,0,1,0,0,0,1,0,1,0,654269902880,"MENA",10
"453","Serbia",2015,0,1,0,0,0,1,0,1,0,39628550868.7509,"Europe",80
"454","South Korea",2015,0,131,0,0,61,70,0,79,0,1382764027113.82,"Asia",84
"455","Spain",2015,0,6,0,0,1,5,0,6,0,1195119269971.52,"Europe",96
"456","Turkey",2015,23,8092,414,3003,530,4992,3417,2211,508.53,859796872677.614,"Europe",55
"457","United Arab Emirates",2015,0,0,0,0,0,0,0,0,0,358135057862.492,"MENA",21
"458","United Kingdom",2015,5,120,0,82,11,32,82,22,1.1,2928591002002.51,"Europe",97
"459","United States",2015,0,107,0,0,58,49,0,101,0,18219297584000,"Americas",92
"460","Venezuela",2015,0,0,0,0,0,0,0,0,0,NA,"Americas",35
"461","Afghanistan",2016,0,1,0,0,0,0,0,1,0,19362642266.6484,"Asia",24
"462","Argentina",2016,0,1,0,0,1,0,0,2,0,557531376217.967,"Americas",79
"463","Australia",2016,0,4,0,0,3,0,0,4,0,1208846993739.99,"Asia",98
"464","Austria",2016,0,4,0,0,3,0,0,2,0,395227684138.862,"Europe",95
"465","Azerbaijan",2016,0,0,0,0,0,0,0,1,0,37867518957.1975,"Eurasia",16
"466","Belarus",2016,0,1,0,0,0,0,0,1,0,47722657820.6675,"Eurasia",17
"467","Belgium",2016,0,47,0,0,44,0,0,1,0,476056833074.336,"Europe",96
"468","Bosnia and Herzegovina",2016,0,0,0,0,0,0,0,0,0,16913330693.9653,"Europe",57
"469","Brazil",2016,17,114,2,15,21,0,17,47,7.99,1796275437087.99,"Americas",81
"470","Canada",2016,0,29,0,0,14,0,0,11,0,1526705529135.32,"Americas",99
"471","Chile",2016,0,0,0,0,0,0,0,0,0,250339863130.847,"Americas",95
"472","Colombia",2016,0,3,0,0,2,0,0,3,0,282825009887.458,"Americas",63
"473","Cyprus",2016,0,0,0,0,0,0,0,0,0,20890936462.2537,"Europe",94
"474","Czech Republic",2016,0,0,0,0,0,0,0,0,0,195090272402.729,"Europe",95
"475","Dominican Republic",2016,0,0,0,0,0,0,0,0,0,75704647977.3087,"Americas",70
"476","Ecuador",2016,0,16,0,0,0,0,0,1,0,99937696000,"Americas",59
"477","Egypt",2016,0,0,0,0,0,0,0,0,0,332927833278.038,"MENA",27
"478","Estonia",2016,0,2,0,0,2,0,0,2,0,23996451497.6139,"Europe",94
"479","Finland",2016,0,0,0,0,0,0,0,0,0,240570297852.344,"Europe",100
"480","France",2016,23,1430,14,335,298,0,349,1334,306.82,2471285607081.72,"Europe",91
"481","Georgia",2016,0,0,0,0,0,0,0,0,0,15141758566.7808,"Eurasia",64
"482","Germany",2016,41,322,2,121,49,0,123,236,96.76,3466790065011.83,"Europe",95
"483","Greece",2016,0,4,0,0,4,0,0,4,0,195222443512.937,"Europe",83
"484","Haiti",2016,0,1,0,0,0,0,0,1,0,7970649131.23416,"Americas",41
"485","Hong Kong",2016,0,0,0,0,0,0,0,0,0,320860698504.309,"Asia",63
"486","India",2016,0,295,0,0,104,0,0,97,0,2290432075123.75,"Asia",77
"487","Indonesia",2016,0,682,0,0,527,0,0,176,0,931877364177.742,"Asia",65
"488","Iraq",2016,0,0,0,0,0,0,0,0,0,174878976033.941,"MENA",27
"489","Ireland",2016,13,32,0,7,5,0,7,8,1.04,300523297712.96,"Europe",96
"490","Israel",2016,17,34,0,16,2,0,16,12,2.04,318950599017.506,"MENA",80
"491","Italy",2016,0,6,0,0,2,0,0,6,0,1875579883543.09,"Europe",89
"492","Japan",2016,6,296,0,23,80,0,23,82,4.92,4926667087367.51,"Asia",96
"493","Kazakhstan",2016,0,4,0,0,3,0,0,4,0,137278320084.171,"Eurasia",24
"494","Kenya",2016,0,0,0,0,0,0,0,0,0,69188755511.0911,"SSA",51
"495","Kuwait",2016,0,11,0,0,9,0,0,4,0,109420059582.92,"MENA",36
"496","Lebanon",2016,0,0,0,0,0,0,0,0,0,51239050082.9187,"MENA",43
"497","Luxembourg",2016,0,1,0,0,0,0,0,1,0,60691483443.1221,"Europe",98
"498","Malaysia",2016,0,2,0,0,0,0,0,2,0,301255454041.415,"Asia",45
"499","Maldives",2016,0,0,0,0,0,0,0,0,0,4379136461.83077,"Asia",43
"500","Mexico",2016,0,3,0,0,1,0,0,3,0,1077903618176.07,"Americas",65
"501","Mongolia",2016,0,0,0,0,0,0,0,0,0,11186734674.3847,"Asia",86
"502","Netherlands",2016,33,3,1,2,2,0,3,3,0.99,783528181704.567,"Europe",99
"503","New Zealand",2016,0,7,0,0,3,0,0,4,0,187854022728.459,"Asia",98
"504","Norway",2016,0,1,0,0,1,0,0,1,0,368827142857.143,"Europe",100
"505","Pakistan",2016,0,19,0,0,12,0,0,13,0,278654637737.69,"Asia",41
"506","Philippines",2016,0,3,0,0,2,0,0,4,0,304897590205.413,"Asia",65
"507","Portugal",2016,0,1,0,0,1,0,0,1,0,206286022781.894,"Europe",97
"508","Russian Federation",2016,28,620,55,89,282,0,144,522,146.16,1282723881134.01,"Eurasia",22
"509","Saudi Arabia",2016,0,2,0,0,1,0,0,1,0,644935541440,"MENA",10
"510","Serbia",2016,0,0,0,0,0,0,0,0,0,40630392018.541,"Europe",78
"511","Singapore",2016,0,0,0,0,0,0,0,0,0,318068476293.883,"Asia",51
"512","South Africa",2016,0,1,0,0,0,0,0,1,0,296357282715.109,"SSA",79
"513","South Korea",2016,0,141,0,0,102,0,0,56,0,1414804158515.26,"Asia",83
"514","Spain",2016,0,21,0,0,10,0,0,14,0,1232076017361.53,"Europe",95
"515","Sweden",2016,0,0,0,0,0,0,0,0,0,515744370225.386,"Europe",100
"516","Switzerland",2016,0,1,0,0,0,0,0,1,0,671308872735.114,"Europe",96
"517","Thailand",2016,0,5,0,0,5,0,0,3,0,412352789519.611,"Asia",32
"518","Turkey",2016,19,8417,290,489,544,0,779,3076,584.44,863721648068.806,"Europe",53
"519","United Arab Emirates",2016,0,30,0,0,25,0,0,8,0,357045064669.843,"MENA",20
"520","United Kingdom",2016,6,238,3,16,15,0,19,66,3.96,2694283209613.29,"Europe",95
"521","United States",2016,0,164,0,0,64,0,0,102,0,18707188235000,"Americas",90
"522","Uzbekistan",2016,0,2,0,0,2,0,0,2,0,81779012350.8833,"Eurasia",3
"523","Venezuela",2016,0,1,0,0,0,0,0,1,0,NA,"Americas",35
"524","Afghanistan",2017,0,0,0,0,0,0,0,0,0,20191764940.1602,"Asia",24
"525","Argentina",2017,0,5,0,0,0,0,0,2,0,642695864756.35,"Americas",82
"526","Australia",2017,25,10,2,0,8,0,2,4,1,1330135756844.41,"Asia",98
"527","Austria",2017,0,1,0,0,0,0,0,1,0,417282900758.043,"Europe",95
"528","Azerbaijan",2017,0,0,0,0,0,0,0,0,0,40865558912.3867,"Eurasia",14
"529","Bahrain",2017,0,0,0,0,0,0,0,0,0,35432686170.2128,"MENA",12
"530","Belarus",2017,0,0,0,0,0,0,0,0,0,54726595249.1849,"Eurasia",20
"531","Belgium",2017,0,3,0,0,1,0,0,3,0,503004504395.429,"Europe",95
"532","Bosnia and Herzegovina",2017,0,0,0,0,0,0,0,0,0,18080118128.3854,"Europe",55
"533","Brazil",2017,12,101,3,19,14,0,22,42,5.04,2053594973992.61,"Americas",79
"534","Canada",2017,0,9,0,0,6,0,0,7,0,1646867220617.47,"Americas",99
"535","Chile",2017,0,0,0,0,0,0,0,0,0,277746461078.319,"Americas",94
"536","Colombia",2017,0,2,0,0,1,0,0,2,0,311789874617.096,"Americas",64
"537","Croatia",2017,0,0,0,0,0,0,0,0,0,55319620157.6135,"Europe",87
"538","Cyprus",2017,0,0,0,0,0,0,0,0,0,22638608224.1301,"Europe",94
"539","Czech Republic",2017,0,0,0,0,0,0,0,0,0,215913545038.43,"Europe",94
"540","Dominican Republic",2017,0,0,0,0,0,0,0,0,0,79998045976.4898,"Americas",68
"541","Ecuador",2017,0,7,0,0,1,0,0,4,0,104295862000,"Americas",57
"542","Egypt",2017,0,0,0,0,0,0,0,0,0,235369129337.711,"MENA",26
"543","Estonia",2017,0,0,0,0,0,0,0,0,0,26792757827.3154,"Europe",94
"544","Finland",2017,0,14,0,0,3,0,0,2,0,254435041879.238,"Europe",100
"545","France",2017,4,139,0,5,50,0,5,82,3.28,2586285406561.51,"Europe",90
"546","Georgia",2017,0,0,0,0,0,0,0,0,0,16242956764.2957,"Eurasia",64
"547","Germany",2017,9,67,2,11,30,0,13,33,2.97,3656749414477.08,"Europe",95
"548","Greece",2017,0,2,0,0,0,0,0,1,0,203085551429.132,"Europe",84
"549","Haiti",2017,0,0,0,0,0,0,0,0,0,8409497402.4589,"Americas",39
"550","Hong Kong",2017,0,0,0,0,0,0,0,0,0,341687111841.092,"Asia",61
"551","India",2017,3,800,17,32,143,0,49,144,4.32,2652242857923.91,"Asia",77
"552","Indonesia",2017,0,196,0,0,82,0,0,65,0,1015423455783.28,"Asia",65
"553","Iraq",2017,0,1,0,0,0,0,0,1,0,195473049875.108,"MENA",27
"554","Ireland",2017,0,16,0,0,0,0,0,9,0,334834010485.56,"Europe",96
"555","Israel",2017,0,5,0,0,4,0,0,5,0,353253406954.97,"MENA",80
"556","Italy",2017,0,7,0,0,3,0,0,9,0,1956960611690.59,"Europe",89
"557","Japan",2017,4,637,0,71,244,0,71,164,6.56,4859950558538.97,"Asia",96
"558","Kazakhstan",2017,0,0,0,0,0,0,0,0,0,166805800595.704,"Eurasia",22
"559","Kenya",2017,0,0,0,0,0,0,0,0,0,78757391333.0219,"SSA",51
"560","Kuwait",2017,0,15,0,0,7,0,0,8,0,120707550280.251,"MENA",36
"561","Lebanon",2017,0,0,0,0,0,0,0,0,0,53393799668.325,"MENA",44
"562","Luxembourg",2017,0,2,0,0,0,0,0,1,0,64023412339.7075,"Europe",98
"563","Malaysia",2017,0,17,0,0,2,0,0,13,0,318958236443.122,"Asia",44
"564","Maldives",2017,0,2,0,0,0,0,0,1,0,4735989972.05433,"Asia",40
"565","Mexico",2017,0,8,0,0,5,0,0,8,0,1157736189998.15,"Americas",65
"566","Mongolia",2017,0,0,0,0,0,0,0,0,0,11425755279.5395,"Asia",85
"567","Nepal",2017,0,0,0,0,0,0,0,0,0,25180583769.9244,"Asia",52
"568","Netherlands",2017,33,3,0,2,2,0,2,3,0.99,831809944960.879,"Europe",99
"569","New Zealand",2017,0,0,0,0,0,0,0,0,0,202590814084.991,"Asia",98
"570","Norway",2017,0,0,0,0,0,0,0,0,0,398393955268.99,"Europe",100
"571","Pakistan",2017,0,674,0,0,42,0,0,75,0,304567253219.097,"Asia",43
"572","Paraguay",2017,0,0,0,0,0,0,0,0,0,39008900331.6733,"Americas",64
"573","Philippines",2017,0,0,0,0,0,0,0,0,0,313619747740.186,"Asia",63
"574","Poland",2017,0,2,0,0,0,0,0,3,0,526216495118.144,"Europe",89
"575","Portugal",2017,0,1,0,0,1,0,0,1,0,220811110492.149,"Europe",97
"576","Qatar",2017,0,1,0,0,1,0,0,1,0,166928571428.571,"MENA",26
"577","Russian Federation",2017,51,1306,23,630,224,0,653,1292,658.92,1578624060588.26,"Eurasia",20
"578","Saudi Arabia",2017,0,3,0,0,0,0,0,3,0,688586133333.333,"MENA",10
"579","Serbia",2017,0,0,0,0,0,0,0,0,0,44120424391.86,"Europe",76
"580","Singapore",2017,0,0,0,0,0,0,0,0,0,338406474038.67,"Asia",51
"581","South Africa",2017,0,0,0,0,0,0,0,0,0,349554116683.818,"SSA",78
"582","South Korea",2017,0,577,0,0,394,0,0,145,0,1530750923148.7,"Asia",82
"583","Spain",2017,0,58,0,0,8,0,0,15,0,1309309642308.24,"Europe",94
"584","Sri Lanka",2017,0,1,0,0,0,0,0,1,0,88019706803.834,"Asia",56
"585","Sweden",2017,0,2,0,0,2,0,0,1,0,540545236387.733,"Europe",100
"586","Switzerland",2017,0,4,0,0,2,0,0,2,0,679950915261.122,"Europe",96
"587","Thailand",2017,0,0,0,0,0,0,0,0,0,455275517239.347,"Asia",32
"588","Turkey",2017,3,6544,148,322,2157,0,470,4294,128.82,852676778300.885,"Europe",38
"589","Ukraine",2017,0,0,0,0,0,0,0,0,0,112190355158.178,"Eurasia",61
"590","United Arab Emirates",2017,0,72,0,0,62,0,0,14,0,377701060177.47,"MENA",20
"591","United Kingdom",2017,20,165,7,30,13,0,37,94,18.8,2666229179958.01,"Europe",95
"592","United States",2017,0,162,0,0,64,0,0,89,0,19485393853000,"Americas",89
"593","Uruguay",2017,0,7,0,0,7,0,0,5,0,56488991831.0239,"Americas",98
"594","Uzbekistan",2017,0,0,0,0,0,0,0,0,0,59159945320.5667,"Eurasia",3
"595","Venezuela",2017,0,2,0,0,0,0,0,2,0,NA,"Americas",30
"596","Afghanistan",2018,0,0,0,0,0,0,0,0,0,19362969582.3643,"Asia",26
"597","Argentina",2018,33,115,0,0,24,0,0,2,0.66,519871519807.795,"Americas",83
"598","Australia",2018,15,20,0,8,4,0,8,1,0.15,1433904348500.12,"Asia",98
"599","Austria",2018,0,2,0,0,0,0,0,0,0,455285818035.125,"Europe",94
"600","Azerbaijan",2018,0,0,0,0,0,0,0,0,0,46939529411.7647,"Eurasia",12
"601","Bahrain",2018,0,0,0,0,0,0,0,0,0,37746196808.5106,"MENA",12
"602","Belarus",2018,0,0,0,0,0,0,0,0,0,59662495092.2654,"Eurasia",21
"603","Belgium",2018,0,0,0,0,0,0,0,0,0,542761092103.469,"Europe",95
"604","Bosnia and Herzegovina",2018,0,0,0,0,0,0,0,0,0,20161865419.4327,"Europe",55
"605","Brazil",2018,29,512,1,142,35,0,143,92,26.68,1868626087908.48,"Americas",78
"606","Bulgaria",2018,0,7,0,0,3,0,0,0,0,65132951116.4756,"Europe",80
"607","Canada",2018,0,9,0,0,3,0,0,0,0,1713341704877.01,"Americas",99
"608","Chile",2018,0,0,0,0,0,0,0,0,0,298231133532.749,"Americas",94
"609","Colombia",2018,0,4,0,0,1,0,0,0,0,331047040087.878,"Americas",65
"610","Croatia",2018,0,0,0,0,0,0,0,0,0,60971699315.1776,"Europe",86
"611","Cyprus",2018,0,2,0,0,1,0,0,0,0,24961988663.2026,"Europe",94
"612","Czech Republic",2018,0,2,0,0,1,0,0,0,0,245225882903.37,"Europe",93
"613","Denmark",2018,0,5,0,0,3,0,0,0,0,355675329085.952,"Europe",97
"614","Dominican Republic",2018,0,1,0,0,0,0,0,0,0,85555390387.0355,"Americas",67
"615","Ecuador",2018,0,25,0,0,20,0,0,0,0,108398058000,"Americas",60
"616","Egypt",2018,0,0,0,0,0,0,0,0,0,250894760351.232,"MENA",26
"617","Estonia",2018,0,0,0,0,0,0,0,0,0,30732144528.9795,"Europe",94
"618","Finland",2018,0,0,0,0,0,0,0,0,0,276743120515.764,"Europe",100
"619","France",2018,8,126,1,6,58,0,7,0,0,2777535239277.98,"Europe",90
"620","Georgia",2018,0,0,0,0,0,0,0,0,0,17599660629.0202,"Eurasia",64
"621","Germany",2018,12,44,0,39,10,0,39,3,0.36,3947620162502.96,"Europe",94
"622","Greece",2018,0,2,0,0,0,0,0,0,0,218031844583.994,"Europe",85
"623","Haiti",2018,0,0,0,0,0,0,0,0,0,9658721168.86849,"Americas",41
"624","Hong Kong",2018,0,2,0,0,1,0,0,0,0,362682018243.286,"Asia",59
"625","India",2018,2,2228,95,114,320,0,209,10,0.2,2718732231257.57,"Asia",77
