"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","gdp"
"91","Brazil","2016",5,172,0,13,36,0,13,40,1796275437087.99
"92","Canada","2016",0,13,0,0,3,0,0,11,1526705529135.32
"93","Chile","2016",0,1,0,0,0,0,0,1,250339863130.847
"94","Colombia","2016",0,4,0,0,2,0,0,4,282825009887.458
"95","Cyprus","2016",0,0,0,0,0,0,0,0,20890936462.2537
"96","Czech Republic","2016",0,0,0,0,0,0,0,0,195090272402.729
"97","Dominican Republic","2016",0,0,0,0,0,0,0,0,75704647977.3087
"98","Ecuador","2016",0,1,0,0,0,0,0,1,99937696000
"99","Egypt","2016",0,0,0,0,0,0,0,0,332927833278.038
"100","Finland","2016",0,0,0,0,0,0,0,0,240570297852.344
"101","France","2016",11,758,4,51,381,0,55,466,2471285607081.72
"102","Georgia","2016",0,2,0,0,2,0,0,2,15141758566.7808
"103","Germany","2016",13,143,4,4,93,0,8,63,3466790065011.83
"104","Greece","2016",0,0,0,0,0,0,0,0,195222443512.937
"105","Hong Kong","2016",0,0,0,0,0,0,0,0,320860698504.309
"106","India","2016",0,129,0,0,89,0,0,43,2290432075123.75
"107","Indonesia","2016",0,113,0,0,49,0,0,30,931877364177.742
"108","Iraq","2016",0,0,0,0,0,0,0,0,174878976033.941
"109","Ireland","2016",17,11,0,1,6,0,1,6,300523297712.96
"110","Israel","2016",0,1,0,0,1,0,0,1,318950599017.506
"111","Italy","2016",0,0,0,0,0,0,0,0,1875579883543.09
"112","Japan","2016",4,169,0,21,78,0,21,67,4926667087367.51
"113","Kazakhstan","2016",0,0,0,0,0,0,0,0,137278320084.171
"114","Kenya","2016",0,0,0,0,0,0,0,0,69188755511.0911
"115","Kuwait","2016",0,9,0,0,7,0,0,5,109420059582.92
"116","Lebanon","2016",0,2,0,0,1,0,0,2,51239050082.9187
"117","Luxembourg","2016",0,0,0,0,0,0,0,0,60691483443.1221
"118","Malaysia","2016",0,4,0,0,3,0,0,2,301255454041.415
"119","Maldives","2016",0,1,0,0,0,0,0,1,4379136461.83077
"120","Mexico","2016",0,2,0,0,1,0,0,2,1077903618176.07
"121","Mongolia","2016",0,0,0,0,0,0,0,1,11186734674.3847
"122","Netherlands","2016",33,7,0,3,2,0,3,6,783528181704.567
"123","New Zealand","2016",0,2,0,0,0,0,0,1,187854022728.459
"124","Norway","2016",0,0,0,0,0,0,0,0,368827142857.143
"125","Pakistan","2016",0,32,0,0,27,0,0,9,278654637737.69
"126","Philippines","2016",0,1,0,0,0,0,0,1,304897590205.413
"127","Russian Federation","2016",12,1698,10,182,1272,0,192,1601,1282723881134.01
"128","Saudi Arabia","2016",0,0,0,0,0,0,0,0,644935541440
"129","Serbia","2016",0,1,0,0,1,0,0,1,40630392018.541
"130","Singapore","2016",0,2,0,0,0,0,0,2,318068476293.883
"131","South Africa","2016",0,1,0,0,0,0,0,1,296357282715.109
"132","South Korea","2016",0,17,0,0,9,0,0,17,1414804158515.26
"133","Spain","2016",5,27,0,3,8,0,3,20,1232076017361.53
"134","Sweden","2016",0,2,0,0,2,0,0,2,515744370225.386
"135","Turkey","2016",23,14953,222,1571,393,0,1793,2493,863721648068.806
"136","United Arab Emirates","2016",0,1,0,0,1,0,0,1,357045064669.843
"137","United Kingdom","2016",3,2090,0,749,27,0,749,174,2694283209613.29
"138","United States","2016",0,150,0,0,82,0,0,100,18707188235000
"139","Venezuela","2016",0,5,0,0,0,0,0,1,NA
"140","Afghanistan","2017",0,0,0,0,0,0,0,0,20191764940.1602
"141","Argentina","2017",0,7,0,0,3,0,0,7,642695864756.35
"142","Australia","2017",29,6,0,23,1,0,23,7,1330135756844.41
"143","Austria","2017",0,0,0,0,0,0,0,0,417282900758.043
"144","Azerbaijan","2017",0,0,0,0,0,0,0,0,40865558912.3867
"145","Bahrain","2017",0,2,0,0,0,0,0,2,35432686170.2128
"146","Belarus","2017",0,0,0,0,0,0,0,0,54726595249.1849
"147","Belgium","2017",0,3,0,0,3,0,0,3,503004504395.429
"148","Bosnia and Herzegovina","2017",0,0,0,0,0,0,0,0,18080118128.3854
"149","Brazil","2017",15,271,0,25,18,0,25,34,2053594973992.61
"150","Canada","2017",0,12,0,0,5,0,0,11,1646867220617.47
"151","Chile","2017",0,1,0,0,0,0,0,1,277746461078.319
"152","Colombia","2017",0,3,0,0,3,0,0,3,311789874617.096
"153","Croatia","2017",0,1,0,0,0,0,0,1,55319620157.6135
"154","Cyprus","2017",0,0,0,0,0,0,0,0,22638608224.1301
"155","Czech Republic","2017",0,0,0,0,0,0,0,0,215913545038.43
"156","Dominican Republic","2017",0,2,0,0,2,0,0,2,79998045976.4898
"157","Ecuador","2017",0,3,0,0,0,0,0,3,104295862000
"158","Egypt","2017",0,0,0,0,0,0,0,0,235369129337.711
"159","Estonia","2017",0,0,0,0,0,0,0,0,26792757827.3154
"160","Finland","2017",0,1,0,0,0,0,0,1,254435041879.238
"161","France","2017",13,1177,2,164,393,0,166,1039,2586285406561.51
"162","Georgia","2017",0,0,0,0,0,0,0,0,16242956764.2957
"163","Germany","2017",25,469,0,121,198,0,121,443,3656749414477.08
"164","Greece","2017",0,2,0,0,2,0,0,2,203085551429.132
"165","Haiti","2017",0,0,0,0,0,0,0,0,8409497402.4589
"166","Hong Kong","2017",0,2,0,0,1,0,0,2,341687111841.092
"167","India","2017",0,341,0,0,101,0,0,104,2652242857923.91
"168","Indonesia","2017",0,93,0,0,36,0,0,57,1015423455783.28
"169","Iraq","2017",0,0,0,0,0,0,0,0,195473049875.108
"170","Ireland","2017",0,12,0,0,4,0,0,8,334834010485.56
"171","Israel","2017",0,2,0,0,1,0,0,2,353253406954.97
"172","Italy","2017",0,5,0,0,0,0,0,5,1956960611690.59
"173","Japan","2017",9,424,0,64,303,0,64,104,4859950558538.97
"174","Kazakhstan","2017",0,0,0,0,0,0,0,0,166805800595.704
"175","Kenya","2017",0,1,0,0,0,0,0,1,78757391333.0219
"176","Kuwait","2017",0,3,0,0,0,0,0,3,120707550280.251
"177","Lebanon","2017",0,0,0,0,0,0,0,0,53393799668.325
"178","Luxembourg","2017",0,0,0,0,0,0,0,0,64023412339.7075
"179","Malaysia","2017",0,2,0,0,0,0,0,2,318958236443.122
"180","Maldives","2017",0,0,0,0,0,0,0,0,4735989972.05433
"181","Mexico","2017",0,4,0,0,1,0,0,5,1157736189998.15
"182","Mongolia","2017",0,0,0,0,0,0,0,0,11425755279.5395
"183","Nepal","2017",0,8,0,0,1,0,0,8,25180583769.9244
"184","Netherlands","2017",17,12,0,1,6,0,1,12,831809944960.879
"185","New Zealand","2017",0,0,0,0,0,0,0,0,202590814084.991
"186","Norway","2017",0,0,0,0,0,0,0,0,398393955268.99
"187","Pakistan","2017",0,82,0,0,19,0,0,24,304567253219.097
