COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Australia,AU,January - June 2012,3,33%,3,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Austria,AT,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Brazil,BR,January - June 2012,5,0%,6,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Bulgaria,BG,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Canada,CA,January - June 2012,11,18%,12,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
France,FR,January - June 2012,6,0%,6,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Germany,DE,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Greece,GR,January - June 2012,3,33%,3,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
India,IN,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Indonesia,ID,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Italy,IT,January - June 2012,4,0%,6,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Japan,JP,January - June 2012,98,20%,147,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Mexico,MX,January - June 2012,5,0%,5,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Netherlands,NL,January - June 2012,4,50%,5,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Peru,PE,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Portugal,PT,January - June 2012,2,0%,4,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
South Korea,KR,January - June 2012,1,0%,7,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Spain,ES,January - June 2012,8,0%,12,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Sweden,SE,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Switzerland,CH,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
Turkey,TR,January - June 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
United Kingdom,UK,January - June 2012,11,18%,11,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
United States,US,January - June 2012,679,75%,948,/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2012
TOTAL,,,849,63%,"1,181",,,
