"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"319",319,319,319,"Ireland","January - June 2019",0,132,0,0,7,0,0,2,0
"320",320,320,320,"Israel","January - June 2019",8,491,0,1,5,0,1,1,0.08
"321",321,321,321,"Italy","January - June 2019",0,8,0,0,1,0,0,1,0
"322",322,322,322,"Japan","January - June 2019",0.2,6273,4,197,3053,0,201,17,0.034
"323",323,323,323,"Jordan","January - June 2019",0,1,0,0,0,0,0,0,0
"324",324,324,324,"Kazakhstan","January - June 2019",0,0,0,0,0,0,0,0,0
"325",325,325,325,"Kenya","January - June 2019",0,0,0,0,0,0,0,0,0
"326",326,326,326,"Kuwait","January - June 2019",0,2,0,0,0,0,0,0,0
"327",327,327,327,"Kyrgyzstan","January - June 2019",0,0,0,0,0,0,0,0,0
"328",328,328,328,"Lebanon","January - June 2019",0,0,0,0,0,0,0,0,0
"329",329,329,329,"Luxembourg","January - June 2019",0,0,0,0,0,0,0,0,0
"330",330,330,330,"Macedonia","January - June 2019",0,0,0,0,0,0,0,0,0
"331",331,331,331,"Malawi","January - June 2019",0,1,0,0,1,0,0,0,0
"332",332,332,332,"Malaysia","January - June 2019",0,23,0,0,6,0,0,0,0
"333",333,333,333,"Maldives","January - June 2019",0,0,0,0,0,0,0,0,0
"334",334,334,334,"Mexico","January - June 2019",0,33,0,0,10,0,0,3,0
"335",335,335,335,"Mongolia","January - June 2019",0,1,0,0,0,0,0,0,0
"336",336,336,336,"Nepal","January - June 2019",0,1,0,0,0,0,0,0,0
"337",337,337,337,"Netherlands","January - June 2019",0,12,0,0,11,0,0,0,0
"338",338,338,338,"New Zealand","January - June 2019",0,0,0,0,0,0,0,0,0
"339",339,339,339,"Norway","January - June 2019",0,0,0,0,0,0,0,0,0
"340",340,340,340,"Oman","January - June 2019",0,1,0,0,0,0,0,0,0
"341",341,341,341,"Pakistan","January - June 2019",0,1798,0,0,234,0,0,8,0
"342",342,342,342,"Panama","January - June 2019",0,4,0,0,0,0,0,4,0
"343",343,343,343,"Paraguay","January - June 2019",0,0,0,0,0,0,0,0,0
"344",344,344,344,"Philippines","January - June 2019",0,2,0,0,1,0,0,0,0
"345",345,345,345,"Poland","January - June 2019",0,12,0,0,10,0,0,0,0
"346",346,346,346,"Portugal","January - June 2019",0,0,0,0,0,0,0,0,0
"347",347,347,347,"Qatar","January - June 2019",0,5,0,0,4,0,0,0,0
"348",348,348,348,"Russian Federation","January - June 2019",34,3809,7,1253,905,0,1260,711,241.74
"349",349,349,349,"Saudi Arabia","January - June 2019",0,1,0,0,1,0,0,0,0
"350",350,350,350,"Serbia","January - June 2019",0,2,0,0,1,0,0,0,0
"351",351,351,351,"Singapore","January - June 2019",0,2,0,0,0,0,0,0,0
"352",352,352,352,"Slovenia","January - June 2019",0,0,0,0,0,0,0,0,0
"353",353,353,353,"South Africa","January - June 2019",0,4,0,0,0,0,0,0,0
"354",354,354,354,"South Korea","January - June 2019",0,3046,0,1,2595,0,1,42,0
"355",355,355,355,"Spain","January - June 2019",0,10,0,4,1,0,4,1,0
"356",356,356,356,"Sri Lanka","January - June 2019",0,0,0,0,0,0,0,0,0
"357",357,357,357,"Sweden","January - June 2019",0,0,0,0,0,0,0,0,0
"358",358,358,358,"Switzerland","January - June 2019",0,1,0,0,0,0,0,0,0
"359",359,359,359,"Thailand","January - June 2019",0,0,0,0,0,0,0,0,0
"360",360,360,360,"Turkey","January - June 2019",5,8993,264,230,2536,0,494,388,19.4
"361",361,361,361,"Ukraine","January - June 2019",0,22,0,0,0,0,0,0,0
"362",362,362,362,"United Arab Emirates","January - June 2019",0,4869,0,0,3863,0,0,0,0
"363",363,363,363,"United Kingdom","January - June 2019",0,110,0,0,39,0,0,0,0
"364",364,364,364,"United States","January - June 2019",0,732,0,0,473,0,0,2,0
"365",365,365,365,"Uruguay","January - June 2019",0,4,0,0,3,0,0,0,0
"366",366,366,366,"Uzbekistan","January - June 2019",0,0,0,0,0,0,0,0,0
"367",367,367,367,"Venezuela","January - June 2019",0,0,0,0,0,0,0,0,0
"368",368,368,368,"Australia","July - December 2012",0,1,0,0,0,0,0,1,0
"369",369,369,369,"Brazil","July - December 2012",0,22,0,0,0,0,0,16,0
"370",370,370,370,"Canada","July - December 2012",0,2,0,0,0,0,0,2,0
"371",371,371,371,"France","July - December 2012",100,40,0,44,0,0,44,1,1
"372",372,372,372,"Germany","July - December 2012",50,7,1,0,0,0,1,2,1
"373",373,373,373,"Greece","July - December 2012",0,0,0,0,0,0,0,0,0
"374",374,374,374,"India","July - December 2012",0,16,0,0,0,0,0,2,0
"375",375,375,375,"Japan","July - December 2012",0,5,0,0,0,0,0,1,0
"376",376,376,376,"Pakistan","July - December 2012",0,0,0,0,0,0,0,0,0
"377",377,377,377,"Spain","July - December 2012",0,1,0,0,0,0,0,1,0
"378",378,378,378,"Turkey","July - December 2012",0,9,0,0,0,0,0,6,0
"379",379,379,379,"United Kingdom","July - December 2012",0,25,0,0,0,0,0,6,0
"380",380,380,380,"United States","July - December 2012",0,12,0,0,0,0,0,4,0
"381",381,381,381,"Australia","July - December 2013",0,0,0,0,0,0,0,0,0
"382",382,382,382,"Brazil","July - December 2013",33,50,2,26,0,0,28,12,3.96
"383",383,383,383,"Canada","July - December 2013",0,0,0,0,0,0,0,0,0
"384",384,384,384,"Ecuador","July - December 2013",0,0,0,0,0,0,0,0,0
"385",385,385,385,"France","July - December 2013",35,146,0,133,0,0,133,309,108.15
"386",386,386,386,"Germany","July - December 2013",0,1,0,0,0,0,0,2,0
"387",387,387,387,"Greece","July - December 2013",0,3,0,0,0,0,0,2,0
"388",388,388,388,"Hong Kong","July - December 2013",0,1,0,0,0,0,0,1,0
"389",389,389,389,"India","July - December 2013",13,54,0,13,0,0,13,8,1.04
"390",390,390,390,"Indonesia","July - December 2013",0,0,0,0,0,0,0,0,0
"391",391,391,391,"Ireland","July - December 2013",0,1,0,0,0,0,0,1,0
"392",392,392,392,"Italy","July - December 2013",0,1,0,0,0,0,0,1,0
"393",393,393,393,"Japan","July - December 2013",50,1,0,10,0,0,10,2,1
"394",394,394,394,"Kuwait","July - December 2013",0,3,0,0,0,0,0,2,0
"395",395,395,395,"Mexico","July - December 2013",0,2,0,0,0,0,0,1,0
"396",396,396,396,"Netherlands","July - December 2013",0,0,0,0,0,0,0,0,0
"397",397,397,397,"Pakistan","July - December 2013",0,0,0,0,0,0,0,0,0
"398",398,398,398,"Russian Federation","July - December 2013",64,14,1,9,0,0,10,14,8.96
"399",399,399,399,"South Korea","July - December 2013",0,0,0,0,0,0,0,0,0
"400",400,400,400,"Spain","July - December 2013",0,0,0,0,0,0,0,0,0
"401",401,401,401,"Turkey","July - December 2013",0,2,0,0,0,0,0,2,0
"402",402,402,402,"United Arab Emirates","July - December 2013",0,5,0,0,0,0,0,2,0
"403",403,403,403,"United Kingdom","July - December 2013",0,9,0,0,0,0,0,9,0
"404",404,404,404,"United States","July - December 2013",0,11,0,0,0,0,0,8,0
"405",405,405,405,"Venezuela","July - December 2013",0,13,0,0,0,0,0,1,0
"406",406,406,406,"Argentina","July - December 2014",0,2,0,0,0,0,0,1,0
"407",407,407,407,"Australia","July - December 2014",0,0,0,0,0,0,0,0,0
"408",408,408,408,"Brazil","July - December 2014",30,191,5,101,0,0,106,27,8.1
"409",409,409,409,"Canada","July - December 2014",0,3,0,0,0,0,0,5,0
"410",410,410,410,"Colombia","July - December 2014",0,0,0,0,0,0,0,0,0
"411",411,411,411,"Cyprus","July - December 2014",0,0,0,0,0,0,0,0,0
"412",412,412,412,"Ecuador","July - December 2014",0,3,0,0,0,0,0,1,0
"413",413,413,413,"France","July - December 2014",43,38,0,15,0,0,15,35,15.05
"414",414,414,414,"Germany","July - December 2014",37,42,14,6,0,0,20,43,15.91
"415",415,415,415,"Greece","July - December 2014",0,2,0,0,0,0,0,1,0
"416",416,416,416,"Hong Kong","July - December 2014",0,0,0,0,0,0,0,0,0
"417",417,417,417,"India","July - December 2014",7,15,1,0,0,0,1,15,1.05
"418",418,418,418,"Indonesia","July - December 2014",0,0,0,0,0,0,0,0,0
"419",419,419,419,"Ireland","July - December 2014",0,0,0,0,0,0,0,0,0
"420",420,420,420,"Italy","July - December 2014",0,0,0,0,0,0,0,0,0
"421",421,421,421,"Japan","July - December 2014",21,26,0,19,0,0,19,19,3.99
"422",422,422,422,"Kazakhstan","July - December 2014",0,2,0,0,0,0,0,1,0
"423",423,423,423,"Kenya","July - December 2014",0,1,0,0,0,0,0,1,0
"424",424,424,424,"Kuwait","July - December 2014",0,2,0,0,0,0,0,2,0
"425",425,425,425,"Mexico","July - December 2014",0,34,0,0,0,0,0,2,0
"426",426,426,426,"Netherlands","July - December 2014",71,14,0,12,0,0,12,14,9.94
"427",427,427,427,"Norway","July - December 2014",0,0,0,0,0,0,0,0,0
"428",428,428,428,"Pakistan","July - December 2014",0,24,0,0,0,0,0,4,0
"429",429,429,429,"Russian Federation","July - December 2014",13,91,3,9,0,0,12,91,11.83
"430",430,430,430,"South Korea","July - December 2014",0,2,0,0,0,0,0,2,0
"431",431,431,431,"Spain","July - December 2014",0,2,0,0,0,0,0,1,0
"432",432,432,432,"Turkey","July - December 2014",50,2642,62,1820,0,0,1882,477,238.5
"433",433,433,433,"United Arab Emirates","July - December 2014",0,0,0,0,0,0,0,0,0
"434",434,434,434,"United Kingdom","July - December 2014",0,40,0,0,0,0,0,22,0
"435",435,435,435,"United States","July - December 2014",0,60,0,0,0,0,0,32,0
"436",436,436,436,"Venezuela","July - December 2014",0,0,0,0,0,0,0,0,0
"437",437,437,437,"Argentina","July - December 2015",0,0,0,0,0,0,0,0,0
"438",438,438,438,"Australia","July - December 2015",0,2,0,0,0,2,0,3,0
"439",439,439,439,"Bosnia and Herzegovina","July - December 2015",0,1,0,0,0,1,0,1,0
"440",440,440,440,"Brazil","July - December 2015",22,107,1,107,8,23,108,18,3.96
"441",441,441,441,"Canada","July - December 2015",0,8,0,0,6,2,0,8,0
"442",442,442,442,"Colombia","July - December 2015",0,3,0,0,2,1,0,3,0
"443",443,443,443,"Cyprus","July - December 2015",0,0,0,0,0,0,0,0,0
"444",444,444,444,"Czech Republic","July - December 2015",0,1,0,0,0,1,0,1,0
"445",445,445,445,"Dominican Republic","July - December 2015",0,11,0,0,3,8,0,11,0
"446",446,446,446,"Ecuador","July - December 2015",0,20,0,0,2,18,0,16,0
"447",447,447,447,"Egypt","July - December 2015",0,1,0,0,0,1,0,1,0
"448",448,448,448,"France","July - December 2015",19,305,2,74,91,158,76,154,29.26
"449",449,449,449,"Georgia","July - December 2015",0,1,0,0,0,1,0,1,0
"450",450,450,450,"Germany","July - December 2015",20,10,1,1,4,4,2,10,2
"451",451,451,451,"Greece","July - December 2015",0,4,0,0,1,3,0,4,0
"452",452,452,452,"Hong Kong","July - December 2015",0,0,0,0,0,0,0,0,0
"453",453,453,453,"India","July - December 2015",0,47,0,0,21,26,0,40,0
"454",454,454,454,"Indonesia","July - December 2015",0,8,0,0,5,3,0,8,0
"455",455,455,455,"Iraq","July - December 2015",0,0,0,0,0,0,0,0,0
"456",456,456,456,"Ireland","July - December 2015",0,0,0,0,0,0,0,0,0
"457",457,457,457,"Italy","July - December 2015",0,4,0,0,4,0,0,4,0
"458",458,458,458,"Japan","July - December 2015",3,130,0,1,81,48,1,37,1.11
"459",459,459,459,"Kazakhstan","July - December 2015",0,18,0,0,13,5,0,4,0
"460",460,460,460,"Kenya","July - December 2015",0,1,0,0,0,1,0,1,0
"461",461,461,461,"Kuwait","July - December 2015",0,3,0,0,2,1,0,3,0
"462",462,462,462,"Luxembourg","July - December 2015",0,1,0,0,0,1,0,1,0
"463",463,463,463,"Malaysia","July - December 2015",0,24,0,0,23,1,0,3,0
"464",464,464,464,"Mexico","July - December 2015",0,0,0,0,0,0,0,0,0
"465",465,465,465,"Mongolia","July - December 2015",0,111,0,0,23,88,0,111,0
"466",466,466,466,"Netherlands","July - December 2015",40,6,0,3,0,4,3,5,2
"467",467,467,467,"New Zealand","July - December 2015",0,0,0,0,0,0,0,1,0
"468",468,468,468,"Norway","July - December 2015",0,0,0,0,0,0,0,0,0
"469",469,469,469,"Pakistan","July - December 2015",0,33,0,0,9,24,0,12,0
"470",470,470,470,"Russian Federation","July - December 2015",5,1774,14,82,1306,380,96,1735,86.75
"471",471,471,471,"Saudi Arabia","July - December 2015",0,1,0,0,0,1,0,1,0
"472",472,472,472,"Serbia","July - December 2015",0,1,0,0,0,1,0,1,0
"473",473,473,473,"South Korea","July - December 2015",0,131,0,0,61,70,0,79,0
"474",474,474,474,"Spain","July - December 2015",0,6,0,0,1,5,0,6,0
"475",475,475,475,"Turkey","July - December 2015",23,8092,414,3003,530,4992,3417,2211,508.53
"476",476,476,476,"United Arab Emirates","July - December 2015",0,0,0,0,0,0,0,0,0
"477",477,477,477,"United Kingdom","July - December 2015",5,120,0,82,11,32,82,22,1.1
"478",478,478,478,"United States","July - December 2015",0,107,0,0,58,49,0,101,0
"479",479,479,479,"Venezuela","July - December 2015",0,0,0,0,0,0,0,0,0
"480",480,480,480,"Afghanistan","July - December 2016",0,1,0,0,0,0,0,1,0
"481",481,481,481,"Argentina","July - December 2016",0,1,0,0,1,0,0,2,0
"482",482,482,482,"Australia","July - December 2016",0,4,0,0,3,0,0,4,0
"483",483,483,483,"Austria","July - December 2016",0,4,0,0,3,0,0,2,0
"484",484,484,484,"Azerbaijan","July - December 2016",0,0,0,0,0,0,0,1,0
"485",485,485,485,"Belarus","July - December 2016",0,1,0,0,0,0,0,1,0
"486",486,486,486,"Belgium","July - December 2016",0,47,0,0,44,0,0,1,0
"487",487,487,487,"Bosnia and Herzegovina","July - December 2016",0,0,0,0,0,0,0,0,0
"488",488,488,488,"Brazil","July - December 2016",17,114,2,15,21,0,17,47,7.99
"489",489,489,489,"Canada","July - December 2016",0,29,0,0,14,0,0,11,0
"490",490,490,490,"Chile","July - December 2016",0,0,0,0,0,0,0,0,0
"491",491,491,491,"Colombia","July - December 2016",0,3,0,0,2,0,0,3,0
"492",492,492,492,"Cyprus","July - December 2016",0,0,0,0,0,0,0,0,0
"493",493,493,493,"Czech Republic","July - December 2016",0,0,0,0,0,0,0,0,0
"494",494,494,494,"Dominican Republic","July - December 2016",0,0,0,0,0,0,0,0,0
"495",495,495,495,"Ecuador","July - December 2016",0,16,0,0,0,0,0,1,0
"496",496,496,496,"Egypt","July - December 2016",0,0,0,0,0,0,0,0,0
"497",497,497,497,"Estonia","July - December 2016",0,2,0,0,2,0,0,2,0
"498",498,498,498,"Finland","July - December 2016",0,0,0,0,0,0,0,0,0
"499",499,499,499,"France","July - December 2016",23,1430,14,335,298,0,349,1334,306.82
"500",500,500,500,"Georgia","July - December 2016",0,0,0,0,0,0,0,0,0
"501",501,501,501,"Germany","July - December 2016",41,322,2,121,49,0,123,236,96.76
"502",502,502,502,"Greece","July - December 2016",0,4,0,0,4,0,0,4,0
"503",503,503,503,"Haiti","July - December 2016",0,1,0,0,0,0,0,1,0
"504",504,504,504,"Hong Kong","July - December 2016",0,0,0,0,0,0,0,0,0
"505",505,505,505,"India","July - December 2016",0,295,0,0,104,0,0,97,0
"506",506,506,506,"Indonesia","July - December 2016",0,682,0,0,527,0,0,176,0
"507",507,507,507,"Iraq","July - December 2016",0,0,0,0,0,0,0,0,0
"508",508,508,508,"Ireland","July - December 2016",13,32,0,7,5,0,7,8,1.04
"509",509,509,509,"Israel","July - December 2016",17,34,0,16,2,0,16,12,2.04
"510",510,510,510,"Italy","July - December 2016",0,6,0,0,2,0,0,6,0
"511",511,511,511,"Japan","July - December 2016",6,296,0,23,80,0,23,82,4.92
"512",512,512,512,"Kazakhstan","July - December 2016",0,4,0,0,3,0,0,4,0
"513",513,513,513,"Kenya","July - December 2016",0,0,0,0,0,0,0,0,0
"514",514,514,514,"Kuwait","July - December 2016",0,11,0,0,9,0,0,4,0
"515",515,515,515,"Lebanon","July - December 2016",0,0,0,0,0,0,0,0,0
"516",516,516,516,"Luxembourg","July - December 2016",0,1,0,0,0,0,0,1,0
"517",517,517,517,"Malaysia","July - December 2016",0,2,0,0,0,0,0,2,0
"518",518,518,518,"Maldives","July - December 2016",0,0,0,0,0,0,0,0,0
"519",519,519,519,"Mexico","July - December 2016",0,3,0,0,1,0,0,3,0
"520",520,520,520,"Mongolia","July - December 2016",0,0,0,0,0,0,0,0,0
"521",521,521,521,"Netherlands","July - December 2016",33,3,1,2,2,0,3,3,0.99
"522",522,522,522,"New Zealand","July - December 2016",0,7,0,0,3,0,0,4,0
"523",523,523,523,"Norway","July - December 2016",0,1,0,0,1,0,0,1,0
"524",524,524,524,"Pakistan","July - December 2016",0,19,0,0,12,0,0,13,0
"525",525,525,525,"Philippines","July - December 2016",0,3,0,0,2,0,0,4,0
"526",526,526,526,"Portugal","July - December 2016",0,1,0,0,1,0,0,1,0
"527",527,527,527,"Russian Federation","July - December 2016",28,620,55,89,282,0,144,522,146.16
"528",528,528,528,"Saudi Arabia","July - December 2016",0,2,0,0,1,0,0,1,0
"529",529,529,529,"Serbia","July - December 2016",0,0,0,0,0,0,0,0,0
"530",530,530,530,"Singapore","July - December 2016",0,0,0,0,0,0,0,0,0
"531",531,531,531,"South Africa","July - December 2016",0,1,0,0,0,0,0,1,0
"532",532,532,532,"South Korea","July - December 2016",0,141,0,0,102,0,0,56,0
"533",533,533,533,"Spain","July - December 2016",0,21,0,0,10,0,0,14,0
"534",534,534,534,"Sweden","July - December 2016",0,0,0,0,0,0,0,0,0
"535",535,535,535,"Switzerland","July - December 2016",0,1,0,0,0,0,0,1,0
"536",536,536,536,"Thailand","July - December 2016",0,5,0,0,5,0,0,3,0
"537",537,537,537,"Turkey","July - December 2016",19,8417,290,489,544,0,779,3076,584.44
"538",538,538,538,"United Arab Emirates","July - December 2016",0,30,0,0,25,0,0,8,0
"539",539,539,539,"United Kingdom","July - December 2016",6,238,3,16,15,0,19,66,3.96
"540",540,540,540,"United States","July - December 2016",0,164,0,0,64,0,0,102,0
"541",541,541,541,"Uzbekistan","July - December 2016",0,2,0,0,2,0,0,2,0
"542",542,542,542,"Venezuela","July - December 2016",0,1,0,0,0,0,0,1,0
"543",543,543,543,"Afghanistan","July - December 2017",0,0,0,0,0,0,0,0,0
"544",544,544,544,"Argentina","July - December 2017",0,5,0,0,0,0,0,2,0
"545",545,545,545,"Australia","July - December 2017",25,10,2,0,8,0,2,4,1
"546",546,546,546,"Austria","July - December 2017",0,1,0,0,0,0,0,1,0
"547",547,547,547,"Azerbaijan","July - December 2017",0,0,0,0,0,0,0,0,0
"548",548,548,548,"Bahrain","July - December 2017",0,0,0,0,0,0,0,0,0
"549",549,549,549,"Belarus","July - December 2017",0,0,0,0,0,0,0,0,0
"550",550,550,550,"Belgium","July - December 2017",0,3,0,0,1,0,0,3,0
"551",551,551,551,"Bosnia and Herzegovina","July - December 2017",0,0,0,0,0,0,0,0,0
"552",552,552,552,"Brazil","July - December 2017",12,101,3,19,14,0,22,42,5.04
"553",553,553,553,"Canada","July - December 2017",0,9,0,0,6,0,0,7,0
"554",554,554,554,"Chile","July - December 2017",0,0,0,0,0,0,0,0,0
"555",555,555,555,"Colombia","July - December 2017",0,2,0,0,1,0,0,2,0
"556",556,556,556,"Croatia","July - December 2017",0,0,0,0,0,0,0,0,0
"557",557,557,557,"Cyprus","July - December 2017",0,0,0,0,0,0,0,0,0
"558",558,558,558,"Czech Republic","July - December 2017",0,0,0,0,0,0,0,0,0
"559",559,559,559,"Dominican Republic","July - December 2017",0,0,0,0,0,0,0,0,0
"560",560,560,560,"Ecuador","July - December 2017",0,7,0,0,1,0,0,4,0
"561",561,561,561,"Egypt","July - December 2017",0,0,0,0,0,0,0,0,0
"562",562,562,562,"Estonia","July - December 2017",0,0,0,0,0,0,0,0,0
"563",563,563,563,"Finland","July - December 2017",0,14,0,0,3,0,0,2,0
"564",564,564,564,"France","July - December 2017",4,139,0,5,50,0,5,82,3.28
"565",565,565,565,"Georgia","July - December 2017",0,0,0,0,0,0,0,0,0
"566",566,566,566,"Germany","July - December 2017",9,67,2,11,30,0,13,33,2.97
"567",567,567,567,"Greece","July - December 2017",0,2,0,0,0,0,0,1,0
"568",568,568,568,"Haiti","July - December 2017",0,0,0,0,0,0,0,0,0
"569",569,569,569,"Hong Kong","July - December 2017",0,0,0,0,0,0,0,0,0
"570",570,570,570,"India","July - December 2017",3,800,17,32,143,0,49,144,4.32
"571",571,571,571,"Indonesia","July - December 2017",0,196,0,0,82,0,0,65,0
"572",572,572,572,"Iraq","July - December 2017",0,1,0,0,0,0,0,1,0
"573",573,573,573,"Ireland","July - December 2017",0,16,0,0,0,0,0,9,0
"574",574,574,574,"Israel","July - December 2017",0,5,0,0,4,0,0,5,0
"575",575,575,575,"Italy","July - December 2017",0,7,0,0,3,0,0,9,0
"576",576,576,576,"Japan","July - December 2017",4,637,0,71,244,0,71,164,6.56
"577",577,577,577,"Kazakhstan","July - December 2017",0,0,0,0,0,0,0,0,0
"578",578,578,578,"Kenya","July - December 2017",0,0,0,0,0,0,0,0,0
"579",579,579,579,"Kuwait","July - December 2017",0,15,0,0,7,0,0,8,0
"580",580,580,580,"Lebanon","July - December 2017",0,0,0,0,0,0,0,0,0
"581",581,581,581,"Luxembourg","July - December 2017",0,2,0,0,0,0,0,1,0
"582",582,582,582,"Malaysia","July - December 2017",0,17,0,0,2,0,0,13,0
"583",583,583,583,"Maldives","July - December 2017",0,2,0,0,0,0,0,1,0
"584",584,584,584,"Mexico","July - December 2017",0,8,0,0,5,0,0,8,0
"585",585,585,585,"Mongolia","July - December 2017",0,0,0,0,0,0,0,0,0
"586",586,586,586,"Nepal","July - December 2017",0,0,0,0,0,0,0,0,0
"587",587,587,587,"Netherlands","July - December 2017",33,3,0,2,2,0,2,3,0.99
"588",588,588,588,"New Zealand","July - December 2017",0,0,0,0,0,0,0,0,0
"589",589,589,589,"Norway","July - December 2017",0,0,0,0,0,0,0,0,0
"590",590,590,590,"Pakistan","July - December 2017",0,674,0,0,42,0,0,75,0
"591",591,591,591,"Paraguay","July - December 2017",0,0,0,0,0,0,0,0,0
"592",592,592,592,"Philippines","July - December 2017",0,0,0,0,0,0,0,0,0
"593",593,593,593,"Poland","July - December 2017",0,2,0,0,0,0,0,3,0
"594",594,594,594,"Portugal","July - December 2017",0,1,0,0,1,0,0,1,0
"595",595,595,595,"Qatar","July - December 2017",0,1,0,0,1,0,0,1,0
"596",596,596,596,"Russian Federation","July - December 2017",51,1306,23,630,224,0,653,1292,658.92
"597",597,597,597,"Saudi Arabia","July - December 2017",0,3,0,0,0,0,0,3,0
"598",598,598,598,"Serbia","July - December 2017",0,0,0,0,0,0,0,0,0
"599",599,599,599,"Singapore","July - December 2017",0,0,0,0,0,0,0,0,0
"600",600,600,600,"South Africa","July - December 2017",0,0,0,0,0,0,0,0,0
"601",601,601,601,"South Korea","July - December 2017",0,577,0,0,394,0,0,145,0
"602",602,602,602,"Spain","July - December 2017",0,58,0,0,8,0,0,15,0
"603",603,603,603,"Sri Lanka","July - December 2017",0,1,0,0,0,0,0,1,0
"604",604,604,604,"Sweden","July - December 2017",0,2,0,0,2,0,0,1,0
"605",605,605,605,"Switzerland","July - December 2017",0,4,0,0,2,0,0,2,0
"606",606,606,606,"Thailand","July - December 2017",0,0,0,0,0,0,0,0,0
"607",607,607,607,"Turkey","July - December 2017",3,6544,148,322,2157,0,470,4294,128.82
"608",608,608,608,"Ukraine","July - December 2017",0,0,0,0,0,0,0,0,0
"609",609,609,609,"United Arab Emirates","July - December 2017",0,72,0,0,62,0,0,14,0
"610",610,610,610,"United Kingdom","July - December 2017",20,165,7,30,13,0,37,94,18.8
"611",611,611,611,"United States","July - December 2017",0,162,0,0,64,0,0,89,0
"612",612,612,612,"Uruguay","July - December 2017",0,7,0,0,7,0,0,5,0
"613",613,613,613,"Uzbekistan","July - December 2017",0,0,0,0,0,0,0,0,0
"614",614,614,614,"Venezuela","July - December 2017",0,2,0,0,0,0,0,2,0
"615",615,615,615,"Afghanistan","July - December 2018",0,0,0,0,0,0,0,0,0
"616",616,616,616,"Argentina","July - December 2018",33,115,0,0,24,0,0,2,0.66
"617",617,617,617,"Australia","July - December 2018",15,20,0,8,4,0,8,1,0.15
"618",618,618,618,"Austria","July - December 2018",0,2,0,0,0,0,0,0,0
"619",619,619,619,"Azerbaijan","July - December 2018",0,0,0,0,0,0,0,0,0
"620",620,620,620,"Bahrain","July - December 2018",0,0,0,0,0,0,0,0,0
"621",621,621,621,"Belarus","July - December 2018",0,0,0,0,0,0,0,0,0
"622",622,622,622,"Belgium","July - December 2018",0,0,0,0,0,0,0,0,0
"623",623,623,623,"Bosnia and Herzegovina","July - December 2018",0,0,0,0,0,0,0,0,0
"624",624,624,624,"Brazil","July - December 2018",29,512,1,142,35,0,143,92,26.68
"625",625,625,625,"Bulgaria","July - December 2018",0,7,0,0,3,0,0,0,0
"626",626,626,626,"Canada","July - December 2018",0,9,0,0,3,0,0,0,0
"627",627,627,627,"Chile","July - December 2018",0,0,0,0,0,0,0,0,0
"628",628,628,628,"Colombia","July - December 2018",0,4,0,0,1,0,0,0,0
"629",629,629,629,"Croatia","July - December 2018",0,0,0,0,0,0,0,0,0
"630",630,630,630,"Cyprus","July - December 2018",0,2,0,0,1,0,0,0,0
"631",631,631,631,"Czech Republic","July - December 2018",0,2,0,0,1,0,0,0,0
"632",632,632,632,"Denmark","July - December 2018",0,5,0,0,3,0,0,0,0
"633",633,633,633,"Dominican Republic","July - December 2018",0,1,0,0,0,0,0,0,0
"634",634,634,634,"Ecuador","July - December 2018",0,25,0,0,20,0,0,0,0
"635",635,635,635,"Egypt","July - December 2018",0,0,0,0,0,0,0,0,0
"636",636,636,636,"Estonia","July - December 2018",0,0,0,0,0,0,0,0,0
"637",637,637,637,"Finland","July - December 2018",0,0,0,0,0,0,0,0,0
"638",638,638,638,"France","July - December 2018",8,126,1,6,58,0,7,0,0
"639",639,639,639,"Georgia","July - December 2018",0,0,0,0,0,0,0,0,0
"640",640,640,640,"Germany","July - December 2018",12,44,0,39,10,0,39,3,0.36
"641",641,641,641,"Greece","July - December 2018",0,2,0,0,0,0,0,0,0
"642",642,642,642,"Haiti","July - December 2018",0,0,0,0,0,0,0,0,0
"643",643,643,643,"Hong Kong","July - December 2018",0,2,0,0,1,0,0,0,0
"644",644,644,644,"India","July - December 2018",2,2228,95,114,320,0,209,10,0.2
"645",645,645,645,"Indonesia","July - December 2018",0,3015,0,0,366,0,0,0,0
"646",646,646,646,"Iraq","July - December 2018",0,0,0,0,0,0,0,0,0
"647",647,647,647,"Ireland","July - December 2018",0,107,0,0,1,0,0,0,0
"648",648,648,648,"Israel","July - December 2018",0,3,0,0,2,0,0,0,0
"649",649,649,649,"Italy","July - December 2018",0,9,0,0,4,0,0,1,0
"650",650,650,650,"Japan","July - December 2018",2,1679,0,363,1187,0,363,16,0.32
"651",651,651,651,"Kazakhstan","July - December 2018",0,0,0,0,0,0,0,0,0
"652",652,652,652,"Kenya","July - December 2018",0,0,0,0,0,0,0,0,0
"653",653,653,653,"Kuwait","July - December 2018",0,3,0,0,0,0,0,0,0
"654",654,654,654,"Kyrgyzstan","July - December 2018",0,37,0,0,8,0,0,4,0
"655",655,655,655,"Lebanon","July - December 2018",0,0,0,0,0,0,0,0,0
"656",656,656,656,"Luxembourg","July - December 2018",0,0,0,0,0,0,0,0,0
"657",657,657,657,"Macedonia","July - December 2018",0,4,0,0,0,0,0,0,0
"658",658,658,658,"Malaysia","July - December 2018",0,10,0,0,1,0,0,0,0
