"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"77",77,77,77,"Norway","January - June 2015",0,0,0,0,0,0,0,0,0
"78",78,78,78,"Pakistan","January - June 2015",0,60,0,0,0,0,0,6,0
"79",79,79,79,"Russian Federation","January - June 2015",63,177,22,56,0,0,78,68,42.84
"80",80,80,80,"South Korea","January - June 2015",0,59,0,0,0,0,0,40,0
"81",81,81,81,"Spain","January - June 2015",0,1,0,0,0,0,0,2,0
"82",82,82,82,"Turkey","January - June 2015",34,1978,125,1667,0,0,1792,718,244.12
"83",83,83,83,"United Arab Emirates","January - June 2015",0,0,0,0,0,0,0,0,0
"84",84,84,84,"United Kingdom","January - June 2015",0,15,0,0,0,0,0,9,0
"85",85,85,85,"United States","January - June 2015",0,71,0,0,0,0,0,25,0
"86",86,86,86,"Venezuela","January - June 2015",0,0,0,0,0,0,0,0,0
"87",87,87,87,"Argentina","January - June 2016",0,0,0,0,0,0,0,0,0
"88",88,88,88,"Australia","January - June 2016",20,35,0,1,2,0,1,5,1
"89",89,89,89,"Azerbaijan","January - June 2016",0,12,0,0,9,0,0,12,0
"90",90,90,90,"Bosnia and Herzegovina","January - June 2016",0,0,0,0,0,0,0,0,0
"91",91,91,91,"Brazil","January - June 2016",5,172,0,13,36,0,13,40,2
"92",92,92,92,"Canada","January - June 2016",0,13,0,0,3,0,0,11,0
"93",93,93,93,"Chile","January - June 2016",0,1,0,0,0,0,0,1,0
"94",94,94,94,"Colombia","January - June 2016",0,4,0,0,2,0,0,4,0
"95",95,95,95,"Cyprus","January - June 2016",0,0,0,0,0,0,0,0,0
"96",96,96,96,"Czech Republic","January - June 2016",0,0,0,0,0,0,0,0,0
"97",97,97,97,"Dominican Republic","January - June 2016",0,0,0,0,0,0,0,0,0
"98",98,98,98,"Ecuador","January - June 2016",0,1,0,0,0,0,0,1,0
"99",99,99,99,"Egypt","January - June 2016",0,0,0,0,0,0,0,0,0
"100",100,100,100,"Finland","January - June 2016",0,0,0,0,0,0,0,0,0
"101",101,101,101,"France","January - June 2016",11,758,4,51,381,0,55,466,51.26
"102",102,102,102,"Georgia","January - June 2016",0,2,0,0,2,0,0,2,0
"103",103,103,103,"Germany","January - June 2016",13,143,4,4,93,0,8,63,8.19
"104",104,104,104,"Greece","January - June 2016",0,0,0,0,0,0,0,0,0
"105",105,105,105,"Hong Kong","January - June 2016",0,0,0,0,0,0,0,0,0
"106",106,106,106,"India","January - June 2016",0,129,0,0,89,0,0,43,0
"107",107,107,107,"Indonesia","January - June 2016",0,113,0,0,49,0,0,30,0
