country,region,year,sum_total_requests_made_yr,total_requests_made,freedom_score,sum_accounts_specified_yr
Estonia,Europe,2017,0,0,94,0
Finland,Europe,2017,3,1,100,15
France,Europe,2017,1121,1039,90,1316
Georgia,Eurasia,2017,0,0,64,0
Germany,Europe,2017,476,443,95,536
Greece,Europe,2017,3,2,84,4
Haiti,Americas,2017,0,0,39,0
Hong Kong,Asia,2017,2,2,61,2
India,Asia,2017,248,104,77,1141
Indonesia,Asia,2017,122,57,65,289
Iraq,MENA,2017,1,0,27,1
Ireland,Europe,2017,17,8,96,28
Israel,MENA,2017,7,2,80,7
Italy,Europe,2017,14,5,89,12
Japan,Asia,2017,268,104,96,1061
Kazakhstan,Eurasia,2017,0,0,22,0
Kenya,SSA,2017,1,1,51,1
Kuwait,MENA,2017,11,3,36,18
Lebanon,MENA,2017,0,0,44,0
Luxembourg,Europe,2017,1,0,98,2
Malaysia,Asia,2017,15,2,44,19
Maldives,Asia,2017,1,0,40,2
Mexico,Americas,2017,13,5,65,12
Mongolia,Asia,2017,0,0,85,0
Nepal,Asia,2017,8,8,52,8
Netherlands,Europe,2017,15,12,99,15
New Zealand,Asia,2017,0,0,98,0
Norway,Europe,2017,0,0,100,0
Pakistan,Asia,2017,99,24,43,756
Paraguay,Americas,2017,1,1,64,1
Philippines,Asia,2017,1,1,63,1
Poland,Europe,2017,6,3,89,5
Portugal,Europe,2017,1,0,97,1
Qatar,MENA,2017,2,1,26,2
Russian Federation,Eurasia,2017,2505,1213,20,2531
Saudi Arabia,MENA,2017,7,4,10,8
Serbia,Europe,2017,0,0,76,0
Singapore,Asia,2017,0,0,51,0
South Africa,SSA,2017,0,0,78,0
South Korea,Asia,2017,178,33,82,645
Spain,Europe,2017,32,17,94,95
Sweden,Europe,2017,1,0,100,2
Switzerland,Europe,2017,2,0,96,4
Thailand,Asia,2017,1,1,32,1
Turkey,Europe,2017,7004,2710,38,15833
Ukraine,Eurasia,2017,1,1,61,2
United Arab Emirates,MENA,2017,29,15,20,126
United Kingdom,Europe,2017,160,66,95,383
United States,Americas,2017,211,122,89,423
Uruguay,Americas,2017,6,1,98,8
Uzbekistan,Eurasia,2017,0,0,3,0
Venezuela,Americas,2017,3,1,30,4
Afghanistan,Asia,2018,0,0,26,0
Argentina,Americas,2018,12,10,83,125
Australia,Asia,2018,8,7,98,29
Austria,Europe,2018,1,1,94,3
Azerbaijan,Eurasia,2018,1,1,12,1
Bahrain,MENA,2018,2,2,12,2
Belarus,Eurasia,2018,0,0,21,0
Belgium,Europe,2018,0,0,95,0
Bosnia and Herzegovina,Europe,2018,0,0,55,0
Brazil,Americas,2018,134,42,78,601
Canada,Americas,2018,8,8,99,17
Chile,Americas,2018,0,0,94,0
Colombia,Americas,2018,2,2,65,6
Croatia,Europe,2018,0,0,86,0
Cyprus,Europe,2018,0,0,94,2
Czech Republic,Europe,2018,0,0,93,2
Dominican Republic,Americas,2018,3,3,67,4
Ecuador,Americas,2018,4,4,60,30
Egypt,MENA,2018,0,0,26,0
Estonia,Europe,2018,0,0,94,0
Finland,Europe,2018,0,0,100,0
France,Europe,2018,133,133,90,439
Georgia,Eurasia,2018,0,0,64,0
Germany,Europe,2018,36,33,94,98
Greece,Europe,2018,1,1,85,3
Haiti,Americas,2018,0,0,41,0
Hong Kong,Asia,2018,0,0,59,2
India,Asia,2018,256,246,77,3922
Indonesia,Asia,2018,189,189,64,4698
Iraq,MENA,2018,0,0,31,0
Ireland,Europe,2018,11,11,96,167
Israel,MENA,2018,3,3,79,45
Italy,Europe,2018,7,6,89,15
Japan,Asia,2018,212,196,96,2780
Kazakhstan,Eurasia,2018,2,2,22,6
Kenya,SSA,2018,0,0,48,0
Kuwait,MENA,2018,3,3,36,6
Lebanon,MENA,2018,3,3,43,3
Luxembourg,Europe,2018,0,0,98,0
Malaysia,Asia,2018,12,12,45,39
Maldives,Asia,2018,0,0,35,0
Mexico,Americas,2018,4,2,62,26
Mongolia,Asia,2018,0,0,85,0
Nepal,Asia,2018,0,0,55,3
Netherlands,Europe,2018,3,3,99,12
New Zealand,Asia,2018,0,0,98,0
Norway,Europe,2018,0,0,100,0
Oman,MENA,2018,3,3,23,37
Pakistan,Asia,2018,244,243,43,5353
Panama,Americas,2018,36,4,83,55
Paraguay,Americas,2018,0,0,64,0
Philippines,Asia,2018,0,0,62,2
Poland,Europe,2018,3,3,85,19
Portugal,Europe,2018,0,0,97,0
Qatar,MENA,2018,0,0,24,12
Russian Federation,Eurasia,2018,1957,1641,20,5444
Saudi Arabia,MENA,2018,8,8,7,15
Serbia,Europe,2018,0,0,73,0
Singapore,Asia,2018,2,2,52,1
South Africa,SSA,2018,0,0,78,0
South Korea,Asia,2018,196,143,84,2731
Spain,Europe,2018,14,10,94,51
Sri Lanka,Asia,2018,0,0,55,0
Sweden,Europe,2018,0,0,100,0
Switzerland,Europe,2018,0,0,96,0
Thailand,Asia,2018,0,0,31,1
Turkey,Europe,2018,9585,8988,32,22998
Ukraine,Eurasia,2018,0,0,62,1
United Arab Emirates,MENA,2018,111,111,17,4364
United Kingdom,Europe,2018,69,66,94,339
United States,Americas,2018,101,99,86,531
Uruguay,Americas,2018,0,0,98,0
Uzbekistan,Eurasia,2018,0,0,7,0
Venezuela,Americas,2018,0,0,26,0
Afghanistan,Asia,2019,0,0,27,0
Albania,Europe,2019,0,0,68,1
Argentina,Americas,2019,0,0,84,1
Australia,Asia,2019,1,1,98,5
Austria,Europe,2019,0,0,93,3
Azerbaijan,Eurasia,2019,0,0,11,2
Bahrain,MENA,2019,0,0,12,0
Belarus,Eurasia,2019,0,0,19,0
Belgium,Europe,2019,0,0,96,0
Bosnia and Herzegovina,Europe,2019,0,0,53,0
Brazil,Americas,2019,46,46,75,293
Bulgaria,Europe,2019,0,0,80,0
Canada,Americas,2019,0,0,99,56
Chile,Americas,2019,0,0,94,0
Colombia,Americas,2019,0,0,66,8
Croatia,Europe,2019,0,0,85,0
Cyprus,Europe,2019,0,0,94,0
Czech Republic,Europe,2019,0,0,91,0
Denmark,Europe,2019,0,0,97,1
Dominican Republic,Americas,2019,0,0,67,2
Ecuador,Americas,2019,0,0,63,0
Egypt,MENA,2019,0,0,22,0
Estonia,Europe,2019,0,0,94,0
Finland,Europe,2019,0,0,100,0
France,Europe,2019,5,5,90,408
Georgia,Eurasia,2019,0,0,63,0
Germany,Europe,2019,2,2,94,74
Greece,Europe,2019,1,1,87,6
Haiti,Americas,2019,0,0,41,0
Hong Kong,Asia,2019,0,0,59,0
India,Asia,2019,8,8,75,2484
Indonesia,Asia,2019,0,0,62,17003
Iran,MENA,2019,0,0,18,4
Iraq,MENA,2019,0,0,32,1
Ireland,Europe,2019,2,2,97,132
Israel,MENA,2019,1,1,78,491
Italy,Europe,2019,1,1,89,8
Japan,Asia,2019,17,17,96,6273
Jordan,MENA,2019,0,0,37,1
