country,year,sum_percentage_where_content_withheld_yr,gdp,sum_total_requests_made_yr
Georgia,2017,0,16242956764.2957,0
Germany,2017,23.89,3656749414477.08,476
Greece,2017,0,203085551429.132,3
Haiti,2017,0,8409497402.4589,0
Hong Kong,2017,0,341687111841.092,2
India,2017,1.74,2652242857923.91,248
Indonesia,2017,0,1015423455783.28,122
Iraq,2017,0,195473049875.108,1
Ireland,2017,0,334834010485.56,17
Israel,2017,0,353253406954.97,7
Italy,2017,0,1956960611690.59,14
Japan,2017,5.94,4859950558538.97,268
Kazakhstan,2017,0,166805800595.704,0
Kenya,2017,0,78757391333.0219,1
Kuwait,2017,0,120707550280.251,11
Lebanon,2017,0,53393799668.325,0
Luxembourg,2017,0,64023412339.7075,1
Malaysia,2017,0,318958236443.122,15
Maldives,2017,0,4735989972.05433,1
Mexico,2017,0,1157736189998.15,13
Mongolia,2017,0,11425755279.5395,0
Nepal,2017,0,25180583769.9244,8
Netherlands,2017,20.2,831809944960.879,15
New Zealand,2017,0,202590814084.991,0
Norway,2017,0,398393955268.99,0
Pakistan,2017,0,304567253219.097,99
Paraguay,2017,0,39008900331.6733,1
Philippines,2017,0,313619747740.186,1
Poland,2017,0,526216495118.144,6
Portugal,2017,0,220811110492.149,1
Qatar,2017,0,166928571428.571,2
Russian Federation,2017,52.94,1578624060588.26,2505
Saudi Arabia,2017,0,688586133333.333,7
Serbia,2017,0,44120424391.86,0
Singapore,2017,0,338406474038.67,0
South Africa,2017,0,349554116683.818,0
South Korea,2017,0,1530750923148.7,178
Spain,2017,3.19,1309309642308.24,32
Sweden,2017,0,540545236387.733,1
Switzerland,2017,0,679950915261.122,2
Thailand,2017,0,455275517239.347,1
Turkey,2017,6.1,852676778300.885,7004
Ukraine,2017,0,112190355158.178,1
United Arab Emirates,2017,0,377701060177.47,29
United Kingdom,2017,13.81,2666229179958.01,160
United States,2017,0,19485393853000,211
Uruguay,2017,0,56488991831.0239,6
Uzbekistan,2017,0,59159945320.5667,0
Afghanistan,2018,0,19362969582.3643,0
Argentina,2018,5.5,519871519807.795,12
Australia,2018,27.25,1433904348500.12,8
Austria,2018,0,455285818035.125,1
Azerbaijan,2018,0,46939529411.7647,1
Bahrain,2018,0,37746196808.5106,2
Belarus,2018,0,59662495092.2654,0
Belgium,2018,0,542761092103.469,0
Bosnia and Herzegovina,2018,0,20161865419.4327,0
Brazil,2018,26.49,1868626087908.48,134
Canada,2018,0,1713341704877.01,8
Chile,2018,0,298231133532.749,0
Colombia,2018,0,331047040087.878,2
Croatia,2018,0,60971699315.1776,0
Cyprus,2018,0,24961988663.2026,0
